@English@|@Yukaghir@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of duck@|@šalhang@
@a k. of moss@|@norzek@
@a kind of minnow@|@munda:@
@a kind of small fish@|@kuropa:, momuSa:@
@above@|@pude@
@afraid@|@iN, iNlE@
@after@|@jekl'e:, jola:@
@again@|@aji:@
@against@|@n'a:s'in@
@all@|@c'umu, c'umut@
@alone@|@id'e:@
@along@|@mi:dE@
@already@|@c'O:@
@also@|@aji:, jaqaj@
@although@|@tit@
@always@|@c'O:tE, iSkom, na:r@
@Amur ide@|@amund'a:@
@ancient@|@c'O:l'E@
@angry@|@joGo@
@another@|@i:lE, je:n@
@antler@|@unmu@
@any@|@kuS@
@apparently@|@minnE@
@appear@|@jen@
@arm@|@nugen@
@armpit@|@qaZidElbE@
@arrive@|@jaqa@
@arrow without a head@|@lOkil@
@as@|@tite@
@ascend@|@arp@
@ashamed@|@omol@
@aside@|@Saj@
@ask@|@joulE, nind'e:@
@asleep@|@mal@
@at@|@a:rqa:, al'@
@at once@|@n'ic'as@
@autumn@|@n'a:dE@
@axe@|@n'umud'i:@
@back@|@joboGE, jolo@
@back (on one's back)@|@c'anma:q@
@backwards@|@c'aqadE@
@bad@|@er@
@bad (too bad)@|@abala:q, qa:re:n@
@bark@|@oj@
@barn@|@kurul@
@basis@|@me:mE@
@be@|@l'E, o:@
@beads@|@kOrOl'ki:@
@bear@|@me:me:, qa:qa:@
@beat@|@kOudE, pungE, tol'c'i:@
@beautiful@|@c'eNdu:, n'ajdEli@
@become@|@kude@
@bed@|@punbur@
@bed (plank bed)@|@urun@
@before@|@ke:jE@
@behind@|@jekl'e:@
@believe@|@be:rE@
@bell@|@joNs'E@
@belonging@|@teril'@
@berry@|@lebejdi:@
@between@|@niNe:ge:l@
@big@|@c'omo@
@bile@|@n'umud'i:@
@bind@|@uldE@
@birch tree@|@pon'qa:ra:@
@bird@|@nodo@
@bird: eagle@|@qani@
@bird: white crane@|@kureqEti:@
@black@|@embE@
@blanket@|@joNZo:d'E@
@bless@|@lostubi:@
@blood@|@leppul@
@blow@|@puj@
@board@|@ninba:@
@boat canoe@|@eks'il'@
@body@|@Sure@
@boil@|@lolGE@
@bone@|@amun@
@boots@|@mure, SOtkuri:@
@born@|@u:@
@both@|@ma:lE@
@bottom@|@albE, arimEl@
@bow@|@eje@
@bowl@|@SoboGEra:@
@break@|@qonZE, Sel'gE@
@breath@|@ju:s'i:@
@breathing@|@ju:s'E@
@bring@|@kes'i:@
@brother (elder)@|@c'a:c'a:@
