@English@|@Yupik@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a bread@|@mukaar@
@a bundle of six of anything@|@qillerner@
@a certain constellation that resembles an eyebrow@|@qavlunguag@
@a certain constellation with three stars@|@cagquralzrit@
@a certain edible tubular sea creature@|@ussunglu@
@a certain fall-time dance festival@|@agayar@
@a certain fishcamp meaning one with many doors@|@Am'igtulirmiut@
@a certain rock type@|@ing'errlin(rar)@
@a few days ago@|@iciwar@
@a fish-cutting area@|@akin (2)@
@a gossip@|@egwurcista@
@a hill meaning small mountain@|@Ingricuar@
@a log hung horizontally with rope@|@canirukaar@
@a log hung horizontally with rope from both ends@|@aawusar@
@a person who cooks@|@egasta@
@a place to come into view@|@Igwaryarer@
@a site in a bay meaning place to wade in water@|@Iwerwigmiut@
@a successful hunter@|@piculi@
@a tear on a garment@|@kelugarner@
@a told to snuff out candle light@|@mellaarissun@
@a utensil to burn out lamp@|@mellaarissun@
@a while ago@|@akaurtenrilzngur@
@a white cloud to arise on horizon@|@uquryag-@
@abandoned village@|@nunallerraarat@
@abdomen@|@aqsaq@
@abnormal growth in throat@|@iqngullug@
@ace in playing cards@|@tuussar (1)@
@across there@|@ikani@
@adipose fin@|@nuluraun@
@adipose fin of fish@|@amaqati@
@administrator@|@angayuqer@
@adopted child@|@anglicar(ar)@
@adopted daughter@|@paniliar@
@adopted son@|@awaqutarkartar@
@adult@|@taqnelug@
@African-American@|@Taqcipag@
@afterbirth@|@aapaquyug@
@again@|@ak'am@
@aged animal skin@|@meqtacir(ar)@
@aged salmon@|@qulug@
@aged salmon head@|@teplicir(ar)@
@aged salmon roe crushed to use for akutar@|@qamaumar@
@aged sealskin used for skin boot soles@|@arinacir(ar)@
@airplane@|@tengssun@
@airport@|@miswig@
@Akiachak-Alaska@|@Akiacuar@
@Akiak-Alaska@|@Akiar@
@alarm@|@kallakutar@
@alder@|@cukvagguar@
@Aleutian Islands and the Alaska Peninsula@|@Nuwugpig'ar@
@Aleutian tern@|@civtulzgar@
@all night@|@unugpag@
@all-terrain vehicle@|@akagyaraleg@
@already@|@ak'a@
@ammunition@|@imar@
@amulet@|@inru@
@an abnormal growth on body@|@cakungcuggat@
@an estuary meaning a place to take on cargo@|@Ucingurmiut@
@an estuary meaning residents of the winter place@|@Uksiwigarmiut@
@an expression shouted as one sees a person coming@|@cukcuuluug@
@an old fashioned sled of ancient times@|@ikamrapigag@
@anal fin@|@ucumqatag@
@anchor@|@kitar@
@and then again@|@tamta-llu@
@anemometer@|@anuqem cuqyut'i@
