@Georgian@|@English@
@Author name@|@Freelang@
@ააგო@|@engineered@
@აადამიანებს@|@humanizes, humanizing@
@აადგილებს@|@displaces, displacing, permutes, permuting, shifting,@
@აავსო@|@filled@
@აალდა@|@inflamed@
@აალება@|@ignition, inflame, inflammation@
@აალებადი@|@flammable@
@აალებები@|@inflammations@
@აალების წერტილები@|@flashpoints@
@აალების წერტილი@|@flashpoint@
@აალებული@|@burning, inflamed@
@აამაღლა@|@heightened, uplifted@
@აამოქმედა@|@actuated@
@აამღვრია@|@puddled@
@აანაზღაურა@|@compensated, offset, refunded, reimbursed@
@აანთო@|@ignited, kindled, lit@
@აარიდა@|@averted, prevented@
@აარსებს@|@bases, basing, establishes, establishing, founding,@
@აარჰუსი@|@Aarhus@
@აასფალტებს@|@asphalting, asphalts@
@ააქაფა@|@lathered@
@ააქტივებს@|@activates, activating@
@ააღელვა@|@flurried@
@ააღორძინა@|@resurgences@
@ააშენა@|@constructed@
@ააშკარავებს@|@revealing, reveals@
@ააჩქარა@|@accelerated@
@ააცდინა@|@missed, overshot@
@ააცილა@|@muffed@
@ააწყო@|@tuned@
@ააჭრელა@|@mottled, streaked@
@აახენი@|@Aachen@
@აახლებს@|@resumes, resuming@
@აბა@|@there@
@აბაზანა@|@bath, bathtub@
@აბაზანები@|@baths, bathtubs@
@აბაკი@|@abacus@
@აბალზამებს@|@embalming, embalms@
@აბამს@|@harnesses, harnessing, ropes, roping, stringing, strings,@
@აბანოზი@|@ebony@
@აბანოზისა@|@ebony@
@აბაჟურები@|@lampshades@
@აბაჟური@|@lampshade@
@აბარებს@|@cedes, ceding, relinquishes, relinquishing@
@აბატები@|@abbots@
@აბატი@|@abbot@
@აბგა@|@kit@
@აბგა ფეხის ცერა თითის გარეთა მხარეს@|@bunion@
@აბგები@|@kits@
@აბგები ფეხის ცერა თითის გარეთა მხარეს@|@bunions@
@აბდაუბდა@|@balderdash@
@აბდა-უბდა@|@blowzy, mix-up@
@აბდა-უბდები@|@mix-ups, mulls@
@აბდა-უნდა@|@mull@
@აბები@|@pills@
@აბების კოლოფები@|@pillboxes@
@აბების კოლოფი@|@pillbox@
@აბედი@|@tinder@
@აბეზარი@|@bothersome, intrusive@
@აბეზარი ადამიანები@|@busybodies, intruders@
@აბეზარი ადამიანი@|@busybody, intruder@
@აბეზრებს@|@bores, pestering, pesters@
@აბეზღებს@|@peaches, peaching@
@აბელი@|@Abe@
@აბერდინი@|@Aberdeen@
@აბეტონებს@|@concretes, concreting@
@აბზაცებად დაყო@|@paragraphed@
@აბზაცებად დაყოფა@|@paragraph@
@აბზაცებად დაყოფილი@|@paragraphed@
@აბზაცებად ყოფს@|@paragraphing, paragraphs@
@აბზაცები@|@paragraphs@
@აბზაცი@|@paragraph@
@აბზეკა@|@hector@
@აბზეკილი@|@hectored@
@აბზიკა@|@hectored@
@აბზინდა@|@absinth, absinthe, tarragon@
@აბი@|@pill@
@აბინძურებს@|@contaminates, contaminating, pollutes, polluting,@
@აბიჯებს@|@overstepping, oversteps, stepping, steps, strides,@
@აბლაბუდა@|@cobweb, gossamer, web@
@აბლაბუდები@|@cobwebs, gossamers@
@აბლაბუდით ბლანდავს@|@webs@
@აბლაბუდით გაბლანდვა@|@webbing@
@აბლაგვებს@|@bates, blunts@
@აბლაუტი@|@ablaut@
@აბნევს@|@disconcerting, disconcerts@
@აბნელებს@|@darkening, darkens, eclipses, eclipsing, obfuscates,@
@აბო@|@Abo@
@აბობოქრებული@|@blustered, stormed@
@აბოლიციონისტები@|@abolitionists@
@აბოლიციონისტი@|@abolitionist@
@აბოლოებს@|@cresting, crests, finalizes, finalizing@
@აბონემენტები@|@season-tickets@
@აბონემენტი@|@season-ticket@
@აბონენტები@|@subscribers@
@აბონენტი@|@subscriber@
@აბორიგენები@|@Aborigines@
@აბორიგენი@|@Aborigine@
@აბორტები@|@abortions@
@აბრა, ფირნიში@|@facia@
@აბრაზებს@|@incenses, incensing, riles, riling@
@აბრაკადაბრა@|@abracadabra@
@აბრალებს@|@blames@
@აბრამი@|@Abraham@
@აბრახუნა@|@rattled@
@აბრახუნებს@|@rattling@
@აბრები, ფირნიშები@|@facias@
@აბრების მხატვარი@|@sign-painter@
@აბრების მხატვრები@|@sign-painters@
@აბრევიატურა@|@abbreviation@
@აბრევიატურები@|@abbreviations@
@აბრეშუმები@|@silks@
@აბრეშუმი@|@silk@
@აბრეშუმითა და ხავერდით მოვაჭრე@|@mercer@
@აბრეშუმითა და ხავერდით მოვაჭრეები@|@mercers@
@აბრეშუმის@|@silken@
@აბრეშუმის ამოხვევის ნარჩენები@|@floss@
@აბრეშუმის დართვა@|@filature@
@აბრეშუმის ნატიფი მაქმანი@|@blonde@
@აბრეშუმის ჭია@|@silkworm@
@აბრეშუმის ჭიები@|@silkworms@
@აბრეშუმისა, ხავერდოვანი@|@silky@
@აბრინჯაოებს@|@bronzes@
@აბრმავებს, თვალს სჭრის@|@dazzles, dazzling@
@აბრტყელებს@|@flattening, flattens, spreadeagles, spreadeagling@
@აბრუებს@|@stunning, stuns@
@აბრუნებს@|@inverting, inverts, refunding, refunds, reimburses,@
@აბსოლუტიზმი@|@absolutism, autarchy, autarky@
@აბსოლუტურად@|@absolutely, profoundly, sheer, starkly@
@აბსოლუტური@|@absolute, profound, sheer, stark, unconditioned,@
@აბსტრაგირება@|@abstract@
@აბსტრაგირებას უკეთებს@|@abstracts@
@აბსტრაგირებული@|@abstracted@
@აბსტრაქტულად@|@abstractedly@
@აბსტრაქტული@|@abstract@
@აბსტრაქცია@|@abstract, abstraction@
@აბსტრაქციები@|@abstractions@
@აბსტრაჰგირება გაუკეთა@|@abstracted@
@აბსურდულად@|@absurdly@
@აბსურდული@|@absurd@
@აბსურდულობა@|@absurdity@
@აბსცესი@|@abscess@
@აბულირება@|@repeal@
@აბურდა@|@tangled@
@აბურდვა@|@tangle@
@აბურდული@|@tangled@
@აბურდული გორგალი@|@tangle@
@აბურდული გორგლები@|@tangles@
@აბურძგლა@|@bristle@
@აბურძგნილი@|@shaggy@
@აბუსალათინის ზეთი@|@castor oil@
@აბუჩად აგდება@|@cold-shoulder@
@აბუჩად აგდებული@|@cold-shouldered@
@აბუჩად აიგდო@|@cold-shouldered@
@აბუჩად იგდებს@|@cold-shouldering, cold-shoulders@
@აბჯარი@|@armour@
@აბჯარი, თორი@|@bards@
@აგავა@|@agave@
@აგავები@|@agaves@
@აგაზნებს@|@stimulates, stimulating@
@აგათა@|@Agatha@
@აგარ-აგარი@|@agar-agar@
