@Greenlandic@|@English@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@(inukkat) illersartut@|@chess or draughtmen@
@... minngaanerpunga@|@I am from....@
@.... imik ateqarpunga@|@my name is...@
@a@|@why, well@
@aa@|@Hie, here, listen@
@aagiaq (aaq)@|@antler@
@aaja@|@no (Frederikshaab)@
@aajarpaa@|@breaks the lateral point off it@
@aajarpoq@|@loses@
@aajarpunga@|@I broke off the lateral point@
@aajuna, aamanna@|@here it is!@
@aajusaq@|@smock sleeve@
@aalaq@|@sweat@
@aalarpoq, aallerpoq@|@sweats@
@aalerfii@|@the holes for them @
@aalerfik@|@hole for lateral point @
@aalerpaa@|@puts a lateral point on it @
@aali@|@fancy!@
@aali piniartumik taaneqartoq@|@and then he is called a hunter!@
@aali tappiitsup sanaa@|@and then it is only a blind person who has made it!@
@aalisaatip ujaraa@|@on a fishing line@
@aalisagaq@|@fish@
@aalisakkap erniai@|@spawn@
@Aalisartoq@|@Fisherman@
@aaliut@|@lashing @
@aallaasip kangia@|@the breech pin of gun@
@aallaat kajumittoq@|@a far-reaching gun@
@aallalersoq naapippara@|@I found him on the point of leaving@
@aallarneq ajulerpugut@|@we cannot get any farther@
@aalliuppaa@|@fetches it on the same occasion@
@aamippaa@|@hits it with the lateral point@
@aamma@|@also, and, more@
@aammik aqajaqqivoq@|@he fills a seal belly with blood@
@aanneqanngilaq@|@lacks firmness @
@aannguaq@|@little sweet!@
@aap@|@yes@
@aap immannguaq@|@yes a litte@
@aapaalingiagaa@|@does not like it@
@aapaalingiappoq@|@does not like raw food@
@aapavoq@|@is raw@
@aappaa@|@skins it (a smaller animal)@
@aappaagu@|@next year@
@aappaaguagu@|@year before next@
@aappaagut, aappaagu@|@next year@
@aappaatsoq@|@unmarried@
@aappalik@|@married@
@aappaliuvunga@|@I have a companion@
@aappaluttumik qalipappaa@|@paints il red@
@aappanippoq (S.G.)@|@marries@
@aappaq@|@the other (of two)@
@aappaqanngitsoq@|@bachelor@
@aapparaa@|@is his companion@
@aappariit marluk@|@two pairs or couples@
@aappariit, aappariik@|@comrades@
@aapparitsiannga@|@come with me for a little while@
@aapparseraa@|@tries to get him as a companion@
@aapparserpaa@|@tries to get a companion for him@
@aappassaanik@|@the second time@
@aappassaqanngilanga@|@I have no one to go with@
@aappassiannguara@|@my little sweetheart@
@aappassiaq@|@betrothed@
@aappassiaraa@|@is engaged to him or her@
@aappassiariipput@|@they are engaged@
@aappassiariit@|@engaged couple@
@aappassiarserpaa@|@proposes to her@
@aapperpaa@|@adds one to it@
