@Gujarati@|@English@
@Author name@|@Rush Shah, Mazhar Meralli Ballou@
@_thi (suffixe)@|@from@
@a taraf@|@this side@
@aabhaar@|@thanks@
@aadoo@|@ginger@
@aadoo@|@ginger@
@aag gaad'ee@|@train@
@aagar@|@front of@
@aagar@|@front of@
@aaje@|@today@
@aaje@|@today@
@aaku@|@whole@
@aaku@|@whole@
@aam tame@|@to and from@
@aankh@|@eye@
@aankh@|@eye@
@aankho@|@eyes@
@aankho@|@eyes@
@aansu@|@tears@
@aant@|@eight@
@aant@|@eight@
@aap@|@give@
@aap@|@give@
@aasmanee@|@light blue@
@aawjo@|@goodbye@
@aawo@|@come in@
@abhineta@|@actor@
@abhineta@|@actor@
@abohawa@|@weather@
@adaar@|@eighteen@
@adaar@|@eighteen@
@adarcha@|@ideal@
@adat@|@habit@
@adhik, vadhare@|@more@
@adhu@|@ginger@
@afat@|@danger@
@afsoss@|@regret@
@afwa@|@rumour@
@ag@|@fire@
@ag@|@fire@
@ag@|@fire@
@agal@|@in front of@
@agariyo@|@salt-maker@
@agya@|@permission@
@agyaar@|@eleven@
@agyaar@|@eleven@
@ah@|@this@
@ah@|@this@
@ahaha !@|@hurrah !@
@ahin@|@here@
@aiya'n@|@here@
@aiya'n@|@here@
@aj@|@today@
@ajama@|@caraway@
@akal@|@intelligence@
@aloo@|@prune@
@amaari@|@our (feminie object)@
@amaari@|@our (feminine object)@
@amali, ambli@|@tamarind@
@amaro@|@our (masculine object)@
@amaro@|@our (masculine object)@
@amukha@|@prologue@
@anaj@|@cereals@
@anaj@|@grain@
@ananas@|@pineapple@
@andaaru@|@dark@
@andaaru@|@dark@
@andar@|@inside@
@andar@|@inside@
@andar@|@inside@
@andha@|@blind@
@ane@|@and@
@angootaa@|@thumb@
@angootho@|@thumb@
@angri@|@finger@
@angri@|@finger@
@anjir@|@fig@
@antaman@|@late, face@
@archan@|@difficulty@
@ardhorat@|@midnight@
@ardu@|@half@
@ardu@|@half@
@are !@|@ah !@
@arisso@|@mirror@
@arth@|@meaning@
@artiyo@|@agent@
@asa@|@hope@
@asar@|@effect@
@asatya@|@to lie down@
@ass pass@|@near about@
@astro@|@razor@
@astya@|@untrue@
@athva, ke@|@or@
@ati@|@very@
@atli@|@this much@
@atli@|@this much@
@atma@|@soul@
@atma@|@spirit@
@atvaare@|@week@
@atvaare@|@week@
@Author name@|@Rush Shah@
@avarana@|@sheath@
@avtikal@|@tomorrow@
@awaaj@|@sound@
@awaaj@|@sound@
@ayogya@|@unfair@
@ba@|@mother, mom@
@baa@|@grandmother@
@baa@|@grandmother@
@baaju@|@beside (location)@
@baaju@|@beside (location)@
@baap@|@father, dad@
@baap@|@father, dad@
@baar@|@twelve@
@baar@|@twelve@
@baashaa@|@language@
@baashaa@|@language@
@baawad'un@|@arm@
@babarchi@|@cook@
@babatman@|@about, regarding@
@badal@|@change@
@badal@|@change@
@badam@|@almond@
@badamee@|@brown@
@badlo@|@revenge@
@bahanum@|@excuse@
@bahar@|@outside@
@bahar@|@outside@
@bahar@|@outside@
@ba�@|@lady@
@bai@|@maid@
@bai@|@maid@
@baju@|@near@
@bakina@|@rest@
@bakro@|@goat@
@balidana@|@sacrifice@
@bana@|@hostage@
@banai@|@make@
@banai@|@make@
@band@|@close@
@band@|@close@
@bandar, vandra@|@monkey@
@bandar@|@monkey@
@bandha karo@|@to close@
@banghai@|@frost@
@banu@|@lady@
@bapor@|@afternoon@
@bapor@|@noon@
@baraf@|@ice@
@baraf@|@ice@
@baraf@|@snow@
@barbaad@|@waste@
@barbaad@|@waste@
@bari@|@window@
@barobar@|@equal@
@batetaa@|@potatoes@
@batha@|@every@
@batha@|@every@
@bathai@|@show@
@bathai@|@show@
@bati@|@wick@
@be@|@two@
@be@|@two@
@bedaa@|@egg@
@bel@|@ox@
@bess@|@to sit@
@betaree@|@flashlight@
@bhaal@|@hair@
@bhagvan@|@god@
@bhagvan@|@god@
@bhai@|@brother@
@bhajimula@|@rootlet@
@bhajipalo@|@vegetables@
@bhanej@|@nephew (sister's son)@
@bhar@|@fill@
@bhar@|@fill@
@bharvad@|@shepherd@
@bhavarth@|@gist@
@bhavisya@|@future@
@bhavisyaman@|@future@
@bhaya@|@fear@
@bhayanaka@|@horrible@
@bhehen@|@sister@
@bhensho@|@buffalo@
@bhida@|@crowd@
@bhilamo, kaju@|@cashew nut@
@bhog@|@to suffer@
@bhool@|@mistake, forgot@
@bhool@|@mistake, forgot@
@bhooro@|@dark blue@
@bhooron@|@brown@
@bhrastata@|@filth@
@bhudvaar@|@Wednesday@
@Bhudvaar@|@Wednesday@
@bhukh@|@hunger@
@bhukh� marat@|@starving@
@bhul@|@error@
@bhuli@|@to forget@
@bichhaanun@|@bed@
@biji@|@second@
@biji@|@second@
@biladi, bilari@|@cat@
@bilkul@|@entire@
@bimari, mandgi@|@illness@
@boja@|@burden@
@calva@|@to walk@
@camatkara@|@miracle@
@candra@|@moon@
@cepi@|@contagious@
@cha'@|@six@
@cha@|@tea@
@chaa@|@tea@
@chaadar@|@sheet@
@chaadar@|@sheet@
@chaali@|@forty@
@chaali@|@forty@
@chaapun@|@newspaper@
@chaat@|@lick@
@chaat@|@lick@
@chaavee@|@key@
@chaklo@|@sparrow@
@chaltun@|@bright@
@chamachiryun@|@bat@
@chamchi@|@teaspoon@
@chamchi@|@teaspoon@
@chamcho@|@spoon@
@chamcho@|@table spoon@
@chamcho@|@table spoon@
@char@|@four@
@char@|@four@
@chare taraf@|@all sides@
@che@|@is@
@che@|@is@
@cheetro@|@leopard@
@chella@|@past@
@cheta@|@at least@
@cheta@|@at least@
@chharee@|@knife@
@chhash@|@butter-milk@
@chhati@|@chest@
@chhatree@|@umbrella@
@chhaya, chayno@|@shadow@
@chhayavalun@|@sunless@
@chhokri@|@girl@
@chhokro@|@boy@
@chhut@|@liberty@
@chhuta chhera@|@divorce@
@chikni@|@snuff@
@chitrakar@|@artist@
@chitrakar@|@picture@
@chitto@|@panther@
@cho@|@are@
@cho@|@six, are@
@chodi@|@to leave@
@chokha, tsavel@|@rice@
@choko@|@clean@
@choko@|@clean@
@chokra@|@children@
@chokra@|@children@
@chokri@|@girl@
@chokro@|@boy@
@chootacheda@|@divorce@
@chootacheda@|@divorce@
@chopri@|@book@
@chopri@|@book@
@chor@|@thief@
@chor@|@thief@
@chord@|@let go@
@chord@|@let go@
@chori@|@theft@
@chori@|@theft@
@chu@|@am@
@chu@|@am@
@chup@|@quiet@
@chup@|@quiet@
@cinta@|@worry@
@cold@|@tandu@
@cukado@|@judgement@
@d'aabun'@|@left@
@daadaa@|@grandfather@
@daadaa@|@grandfather@
@daaroo@|@alcohol@
@daaroo@|@alcohol@
@dabi tarf@|@on left side@
@dadapapa@|@grandfather (father's dad)@
@dadima@|@grandmother (mother's dad)@
@dado@|@balloon@
@dahin@|@curd@
@dal@|@pulse (cooked)@
@dal@|@pulse@
@dantha@|@business@
@dantha@|@business@
@daram@|@pomegranate@
@darji@|@tailor@
@daroodiyo@|@drunkard@
@darroj@|@everyday@
@darwajo@|@door@
@das@|@ten@
@das@|@ten@
@daya@|@mercy, kindness@
@daya@|@pity@
@dekhau@|@sight@
@der@|@every@
@der@|@every@
@desh@|@country@
@desh@|@country@
@dhaja@|@flag@
@dhana@|@coriander@
@dhando@|@profession@
@dharam@|@religion@
@dharam@|@religion@
@dhato@|@metal@
@dhav@|@wait-nurse@
@dheel@|@delay@
@dhikkara@|@hate@
@dhima@|@slow@
@dhirthi, dime@|@slow@
@dhobi@|@washer man / woman@
@dhole divas@|@broad daylight@
@dhuk@|@pain@
@dhuk@|@pain@
@dhul@|@dust@
@dikkhar@|@hate@
@dikri@|@daughter@
@dikro@|@son@
@dil@|@heart@
@dil@|@heart@
@divala@|@wall@
@divankanun@|@drawing room@
@divas@|@days@
@diwal@|@wall@
@diwas@|@day@
@diwo@|@light@
@doba@|@stupid@
@doba@|@stupid@
@dok@|@neck@
@dola@|@to pretend@
@doodh@|@milk@
@doodhwalo@|@milkman@
@door@|@far@
@dora@|@white (masc.)@
@dora@|@white@
@dori@|@white (fem)@
@dori@|@white@
@doru@|@white (inv)@
@doru@|@white@
@doryu@|@spill@
@doryu@|@spill@
@doshi@|@old women@
@doso@|@old man@
@doungri@|@onion@
@doungri@|@onion@
@doungri@|@onion@
@drak@|@grape@
@drakh@|@grapes@
@dudhi@|@bottle gourd@
@dukkar@|@pig@
@duniya@|@world@
@duniya@|@world@
@durbal@|@lean@
@dusman@|@enemy@
@dust@|@wicked@
@dut�@|@angel@
@duukha@|@sorrow@
@eh@|@that@
@eh@|@that@
@ek divas@|@someday@
@ek vees@|@twenty-one@
@ek vees@|@twenty-one@
@ek@|@one@
@ek@|@one@
@ekanta@|@solitude@
@eklo@|@alone@
@eklo@|@alone@
@elchi@|@ambassador@
@elchi@|@cardamom@
@etli@|@that much@
@fajala bhag@|@spare part@
@faraj@|@duty@
@fatelo@|@torn@
@feriyo@|@hawker@
@fua@|@uncle (mother's younger brother)@
@fuwaaro@|@shower@
@gaadi@|@car@
@gaadi@|@car@
@gaajar@|@carrot@
@gaajar@|@carrot@
@gaal@|@cheek@
@gaandi@|@crazy@
@gaandi@|@crazy@
@gaando@|@crazy@
@gaando@|@crazy@
@gaay@|@cow@
@gadedo@|@donkey@
@gadhedo, gadhero@|@ass, donkey@
@gadik@|@sometimes@
@gadik@|@sometimes@
@gadlo@|@bed@
@gajar@|@carrot@
@ganda@|@dirty@
@ganda@|@dirty@
@gandhak@|@sulphur@
@gandi@|@dirty@
@gandi@|@dirty@
@gando@|@dirty@
@gando@|@dirty@
@gandvar@|@dirt@
@ganss@|@grass@
@garam@|@hot@
@garam@|@hot@
@garu@|@neck@
@garu@|@neck@
@garur@|@eagle@
@gathiyo@|@pickpocket@
@gavaiyo@|@songster@
@gavo@|@sing@
@gavo@|@sing@
@gayak@|@singer@
@gayikal@|@yesterday@
@geet@|@song@
@geet@|@song@
@ghaam@|@village, small town@
@ghaam@|@village, small town@
@ghantadi@|@bell@
@ghanu@|@much@
@ghar@|@home@
@ghar@|@house@
@ghariyaal@|@clock@
@gharkhatlo@|@household@
@gharman@|@inside house@
@ghaun@|@corn@
@ghaun@|@wheat@
@ghayada@|@wounded@
@ghee@|@clarified butter@
@ghetanna@|@lamb@
@ghodi@|@crutch@
@ghodo@|@knight@
@ghora@|@horse@
@ghoro@|@horse@
@ghotan@|@knee@
@ghotavana@|@breeze@
@ghunto@|@ankle@
@ghuvar@|@owl@
@gidh@|@vulture@
@gita@|@anthem, hymn@
@goda@|@horse@
@goda@|@horse@
@gokhrun@|@turnip@
@gulabee@|@pink@
@gupta@|@secret@
@Guruvaar@|@Thursday@
@Guruvaar@|@Thursday@
@gus@|@to enter@
@gus@|@to enter@
@ha@|@yes@
@haa@|@yes@
@haa@|@yes@
@haath@|@hand@
@haath@|@hand@
@hada@|@extent@
@hai !@|@alas !@
@hai bagwan !@|@o god !@
@hajaar@|@thousand@
@hajaar@|@thousand@
@hajam@|@barber@
@halaradum@|@lullaby@
@halat@|@condition@
@hammesa@|@always@
@hans@|@swan@
@har@|@defeat@
@hara@|@defeat@
@haran@|@deer@
@hardar@|@turmeric@
@hardik@|@hearty@
@has@|@laugh@
@has@|@laugh@
@has�@|@to laugh@
@hathi@|@elephant@
@hatya@|@murder@
@havaman@|@weather@
@hawa@|@air@
@hawapani@|@climate@
@hetu@|@intention@
@himaprapat@|@avalanche@
@himat@|@bravery@
@hod'ee@|@ocean liner@
@hont@|@lip@
@hont@|@lip@
@hrdaya@|@heart@
@iccha@|@desire@
@ija@|@injury@
@imandari@|@sincerity@
@indun@|@egg@
@jaa@|@go@
@jaa@|@go@
@jaan@|@life@
@jaan@|@life@
@jaan'bud'o@|@purple@
@jaare@|@whenever@
@jaare@|@whenever@
@jaath@|@body@
@jaath@|@species@
@jaathe@|@single handedly@
@jaathe@|@single handedly@
@jaban@|@word@
@jagyaman@|@in place of@
@jahu, voho@|@daughter-in-law@
@jair@|@poison@
@jair@|@poison@
@jaldi@|@fast, quick@
@jali@|@fast, quick@
@jalsa@|@fun@
@jalsa@|@fun@
@jama�@|@son-in-law@
@jaman@|@food@
@jamavanikholi@|@dining room@
@jameen@|@ground@
@jameen@|@ground@
@jamin, dharti@|@land@
@jamni taraf@|@on right side@
@jamn'un@|@right@
@jamphal@|@guava@
@janavar@|@animals@
@jara pan nahin@|@not at all@
@jarur@|@need@
@jarur@|@surely@
@jasus@|@spy@
@jatra@|@pilgrimage@
@jawaab@|@answer@
@jawaab@|@answer@
@jeebh@|@tong@
@jeet, fateh@|@victory@
@jeke@|@though@
@jhadi@|@diarrheal@
