@Haitian creole@|@English@
@Author name@|@Freelang/JD@
@a@|@verb marker future tense will, shall@
@a@|@and, with    pen a bè  bread and butter@
@a@|@of (shows possession) liv a Toma  Tom's book@
@a@|@interjection meaning ah or oh@
@a@|@'s    (a òm  Men's  Rad a òm  Men's clothing)@
@a@|@To, at, on.@
@a 2@|@and, with, ah, oh, to, at, on, plural marker@
@a 3 (peyi a)@|@a, the used after a non nasal word end@
@a defo@|@in the absence of@
@a gran lijyèn@|@in large quantity, in abundance@
@a jenou@|@kneeling, on your knees@
@a jou@|@up to date, ready@
@a klè@|@openly@
@a kondisyon@|@on condition that@
@a kote@|@next to, at the side of, alongside, in comparison@
@a kwa bon@|@exclamation meaning what is the use@
@a la driv@|@drifting@
@a la fen@|@finally@
@a la fwa@|@at a time, simultaneously@
@a la men@|@by hand@
@a la mòd@|@fashionable@
@a la tèt@|@at the head of, in charge of@
@a lè@|@on time@
@a lenterè@|@with interest@
@a lès@|@to the east@
@a letaj@|@on the first floor@
@a lèz@|@at ease@
@a lwès@|@to the west@
@a mò@|@very much, exceedingly@
@a nan@|@in, from, on, to, on the, off, gets a@
@a nouvo@|@afresh@
@a òm@|@mens (possessive)@
@a pa@|@particular, private, apart, special, beside@
@a pa 2@|@apart from, separately@
@a pik@|@steep, abrupt, precipitous@
@a poko pase@|@is not over@
@a pwal@|@bareback@
@a pye@|@walking, afoot, on foot@
@a pye@|@on foot@
@a senkè tapan@|@at five shrp@
@a sou@|@on the@
@a tè@|@on land, on the ground@
@a vini@|@is going to arrive, will arrive@
@a yon@|@a@
@aba@|@down with (  )!@
@aba@|@interjection meaning Down with...@
@abajou@|@lampshade@
@abajou a@|@lampshade@
@abako a@|@jeans, blue jeans, blue denim pants@
@abako a@|@jeans, pants made of blue denim@
@abandone@|@to forsake, abandon@
@abandonnen@|@to give up, forsake, abandon@
@abandonnen@|@to give up, to forsake, abandon@
@abat@|@to kill, to knock down@
@abat@|@to kill, to knock down(yo abat li  they killed him@
@abatwa a@|@slaughter house@
@abc@|@the alphabet; first elements of science or art@
@abc@|@the alphabet, first elements of science or art@
@abdike@|@abdicate@
@aberasyon@|@aberration@
@abese@|@debase, the alphabet, first elements of scienceart@
@abese@|@the alphabet; first elements of a science or art@
@abese 2@|@lower@
@abèy@|@bee@
@abi a@|@abuse, injustice  Fe abi to abuse@
@abi a@|@abuse, injustice@
@abi a@|@formal atire, official costume@
@abi a 2@|@formal attire, official costume@
@abiko@|@apricot@
@abil@|@skillful@
@abil@|@crafty, skillful@
@abilite@|@ability@
@abim nan@|@misfortune, misery, bottomless hole, abyss@
@abiman an@|@clothing (formal)@
@abime@|@deteriorate, destroy@
@abit la@|@umpire, referee, arbiter@
@abitan@|@peasant, country folks, farmer, hick, uncouth one@
@abitan dekore@|@pretentious hick@
@abitasyon an@|@plantation, farm, habitation, farmhouse with land@
@abitasyon an 2@|@hamlet, courtyard with several houses around it@
@abite@|@live in, live, to stay, to inhabit@
@abite@|@to inhabit; to live, to stay@
@abitid@|@habit, custom@
@abitid la@|@habit, custom@
