@Italian (Theology)@|@English@
@Author name@|@Michael Fye@
@a@|@to, at@
@a carico di@|@dependent on, at someone's expense, charged to, to be paid by, against@
@a causa di@|@because of@
@a cura di@|@edited by@
@a parte@|@apart from, separate, separately, different (a prescindere da- a prescindendo da)@
@a partire@|@starting from@
@a posto@|@in order, all right, fixed, settled, sorted out, decent, respectable (ex:  È tutto a posto - everything is in order, it's all been sorted out, it's all settled)@
@a prescindendo da@|@apart from, regardless (a parte- a prescindere da)@
@a prescindere da@|@apart from, regardless (a parte- a prescindendo da)@
@a proposito di@|@speaking of, in connection with@
@a quanto pare@|@apparently, it seems so, so it seems (a quanto sembra)@
@a quanto sembra@|@apparently, by the look of it (a quanto pare)@
@a rovescio@|@upside down, inside out, backwards, the wrong way, badly (alla rovescia)@
@a sé stante@|@separate, distinct, apart@
@a vicenda @|@each other, in turn, one another, mutually@
@a volte@|@sometimes, at times, occasionally@
@abbacinare@|@to dazzle, to deceive@
@abbattere@|@to knock down, to demolish, to dishearten@
@abbatutto @|@dejected, downcast@
@abbazia@|@(f- l')- abbey@
@abbozzare@|@to sketch, to outline (delineare), to draft, to hint at (accennare)@
@abbracciare@|@to embrace, to hug, to take up@
@abile@|@able, skillful, clever@
@abilitare@|@to enable, to authorize, to empower, to qualify, to certify@
@abissale@|@abysmal, unfathomable@
@abituale@|@habitual, regular, usual, customary, accustomed@
@abitudine@|@(f- l')- habit, practice, custom, use (consueto- consuetudine- norma- prassi- regola- uso)@
@abolire@|@(isc verb)- to abolish @
@accadere@|@to happen, to occur, to take place (avvenire- capitare- occorrere- ricorrere- succedere- svolgersi- verificarsi)@
@accanto a@|@nearby, next to@
@accecamento@|@(m- l') - blinding, derangement of mind, lack of perception, lack of understanding@
@accedere@|@to accede to, to agree to, to grant (accettare- acconsentire- aderire- ammettere- assentire- concedere- consentire), to be admitted to, to gain access to, to enter, to reach, to access@
@accendere@|@to light, to turn on (a light), to enkindle, to inflame@
@accennare@|@to indicate, to hint at (abbozzare)@
@accenno@|@(m- l')- hint, sign, indication, nod@
@accertabile@|@ascertainable, verifiable, assessable@
@accertare@|@to verify, to ascertain, to assure@
@acceso@|@on, alight, vivid, bright@
@accesso@|@(m- l')- access, approach, admission, fit, outburst, attack@
@accettare@|@to accept, to admit, to consent to (accedere- acconsentire- aderire- ammettere- assentire- concedere- consentire), to take up@
@accettazione@|@(f- l')- acceptance@
@accidia@|@(f- l')- sloth (indolenza)@
@accoglienza@|@(f- l')- welcome, reception@
@accogliere@|@to receive, to welcome, to grant a request@
@accolta@|@(f- l')- gathering, assembly (incontro- raduno)@
@acconsentire@|@to consent, to agree, to assent (accedere- accettare- aderire- ammettere- assentire- concedere- consentire)@
@accontentare@|@to satisfy, to please, to meet@
@accordo@|@(m- l')- agreement, consent (intesa), arrangement @
@accorgersi@|@to notice, to realize, to perceive, to become aware of@
@accostamento@|@(m- l')- approach, combination, matching, comparison, parallel@
@accostare@|@to draw near, to approach, to bring, to compare, to liken, to connect, to associate, to turn, to alter course@
@accostarsi@|@to approach, to draw near, to become interested in, to resemble, to draw alongside@
@accostarsi ai sacramenti@|@to receive the sacraments@
@acquistare@|@to buy, to purchase, to acquire, to get@
@ad un tratto@|@all of a sudden@
@adagio@|@(m- l')- adage, proverb, saying, (adv.) - slowly, in a leisurely way@
@adatto@|@suitable, suited, right, proper@
@addentro@|@inside, within@
@addestramento@|@(m- l')- training, drill@
@addirittura@|@absolutely, positively, actually, even, really!, you don't say!, directly, straight@
@addirsi@|@to be suitable, to be becoming@
@additare@|@to point out, to indicate, to show@
@addormentarsi@|@to fall asleep@
@addosso@|@on, on top of, against@
@adeguare@|@to adjust, to adapt, to conform, to fit@
@adeguarsi@|@to conform oneself with, to come into line with, to adapt oneself to@
@adeguato@|@adequate, suitable, convenient, fair, right (past part. of adeguare)@
@adempire@|@(isc verb)- to fulfull, to accomplish, to carry out, to perform (compiere- compire- eseguire)@
@aderenza@|@(f- la)- adhesion, adherence, grip, closeness, (pl.)- connections, contacts@
@aderire@|@(isc verb)- to adhere, to agree, to assent (accedere- accettare- acconsentire- ammettere- assentire- concedere- consentire)@
@adibire@|@(isc verb)- to use as, to use for @
@adire@|@to resort to, to have recourse to@
@adombrare@|@to overshadow, to hide, to conceal, to suggest, to give a hint of@
@adoperare@|@to use, to make use of, to employ, to handle@
@adoperarsi@|@to work, to exert oneself, to do one's best, to take the trouble@
@adottare@|@to adopt@
@adunare@|@to assemble, to gather, to collect (radunare)@
@affascinante@|@fascinating, charming, enchanting@
@affascinare@|@to fascinate, to charm, to enchant@
@affatto@|@quite, entirely, at all@
@affermabile@|@affirmable@
@affermare@|@to affirm, to declare, to state, to assert@
@afferrabile@|@easy to grasp, comprehensible@
@afferrare@|@to seize, to grasp, to catch@
@affettivo@|@affective, emotional@
@affetto@|@(m- l')- affection, fondness, love, (adj.)- suffering, afflicted@
@affidabile@|@reliable, trustworthy, dependable@
@affidabilità@|@(f- la)- dependability, reliability, trustworthiness@
@affidare@|@to entrust, to leave, to give@
@affidarsi a@|@to rely on, to depend on, to trust, to place one's trust in@
@affinchè@|@so that, in order that@
@affine@|@similar, like@
@affinità@|@(f- l')- affinity, similiarity, resemblance, attraction, liking, kinship@
@affliggere@|@to afflict, to distress, to trouble, to bother@
@affogare@|@to drown@
@affollato@|@crowded, packed@
@affondare@|@to sink, to go down, to thrust, to plunge@
@affondo@|@(m- l')- lunge, run, attack@
@affrancato@|@free, liberated, stamped (past part. of affrancare)@
@affranto@|@broken-hearted, grief-stricken, devastated, shattered, worn-out, exhausted, prostrate@
@affrettarsi@|@to hurry, to hurry up, to hasten@
@affrontare@|@to meet, to encounter, to confront (fronteggiare)@
@agevole@|@easy, comfortable, handy, convenient, reasonable@
@agganciare@|@to link, to couple, to hook, to fasten (collegare- congiungere- legare- mettere in collegamento- unire)@
@aggancio@|@(m- l')- link, connection, contact (collegamento- legame- nesso- raccordo- rapporto- vincolo)@
@aggiornamento@|@(m- l')- revision, updating, adjournment, postponement@
@aggiornato@|@up-to-date, updated, modernized, well-informed, abreast of (past part. of aggiornare)@
@aggirare@|@to go around, to bypass, to circumvent, to avoid, to deceive, to cheat, to dupe@
