@Khowar@|@English@
@Author name@|@Kevin Klak@
@abi@|@irrigated land@
@achi@|@go away!@
@ademzada@|@an aristocrat@
@Alghaniwar@|@the Pashtu language@
@amadan@|@income@
@ambokhchan@|@a co-wife@
@anus@|@day@
@asum@|@I am@
@asumi@|@you [plural] are@
@asuni@|@they are@
@asur@|@he, she is@
@asus@|@you are@
@asusi@|@we are@
@awa@|@I@
@awrat@|@a womqn@
@awratani@|@menstrual period@
@ayh@|@up@
@ayh korik@|@to push up@
@ayi@|@a snake@
@aynak &#@|@eyeglasses@
@ayukun@|@eggs@
@azhik@|@to be born@
@baghatam@|@I went@
@baghay@|@he went@
@bah@|@a kiss@
@bah bos@|@Let me kiss you!@
@bahder@|@brave@
@bakh@|@cave@
@balah@|@ghost@
@Balghamzhuni@|@demon who takes away the lives of young babies@
@baliyak@|@a person who is stronger than his enemy@
@balu@|@fur which has been shed@
@band@|@closed@
@banj@|@a holly oak tree@
@bap@|@grandfather@
@bas bik@|@to spend the night@
@bashaleni@|@house  Kalash women sit for menst. per. or labor@
@bashir@|@it rains@
@bathan@|@native country@
@bazuband@|@the wrist@
@be@|@without@
@belu@|@a unit of weight@
@beluw@|@a flute@
@beysh@|@a lamb@
@bezemik@|@to sell@
@bi (long)@|@seed@
@bi (short)@|@going@
@bik@|@to go@
@biko@|@right!@
@bim@|@I will go@
@birmogh@|@walnut@
@bisa@|@are you going?@
@bishir@|@twenty@
@bizbar@|@vulture@
@bo@|@many@
@boghdu@|@they went@
@boghe@|@go away!@
@bok@|@wife@
@bokht@|@rock, stone@
@bolmuzhi@|@earthquake@
@bom@|@i can@
@bond@|@a bridge consisting of a few logs@
@bong@|@hashish@
@boni@|@they will become@
@bos@|@Be! (imperative)@
@botik@|@to bind, tie up@
@boy@|@he will become@
@brar@|@brother@
@brargini@|@brothers@
@brik@|@to die@
@bu@|@owl@
@Budalak@|@Kalash religious festival@
@bukhtuyak@|@coward@
@bulbul@|@nightingale@
@bum@|@land, the earth@
@but@|@shoe@
@chachk@|@type of wasp@
@chafdik@|@to peck as a bird does@
@chamut@|@finger@
@chan@|@naked@
@chan (retroflex)@|@a leaf@
@Chanchori Mas@|@October@
@chani@|@baby goat@
@changik@|@to lie@
@chaqu@|@knife@
@char@|@cliff@
@char@|@dry leaf@
@char@|@dry@
@charbu@|@villiage headman@
@charwelu@|@local government official@
@chik@|@to be finished@
@chhir@|@milk@
@chhirnan@|@wet nurse@
@cchirzhaw@|@a foster child@
@cchor@|@four@
@chhoy@|@six@
@chibi@|@path to water@
@chichibon@|@chickadee, type of bird@
@chichik@|@to learn@
@Chitrar@|@Chitral@
@chogh@|@a switch@
@chong@|@clitoris@
@chuchi@|@tomorrow morning@
@chum hosik@|@to smile@
@chuy@|@night@
@chuy@|@hungry@
@dalum@|@pomergranate@
@dami@|@baby horse, foal@
@dank kol@|@ankle@
@dani@|@melody@
@daq@|@boy@
@daqan@|@boys@
@daray@|@type of mat for the floor@
@dartochak@|@carpenter@
@dasparan@|@mating of horses@
@dat@|@a pit@
@dek@|@leg@
@dew@|@genie@
@dik@|@to give@
@dodor@|@lizard@
@dohn@|@ghee@
@dok@|@hill, heap@
@dok korik@|@to carry on the back@
@dom@|@I give, I beat@
@don@|@tooth@
@dor@|@cellar@
@doy@|@he will give, he will beat@
@drang@|@vulva@
@drohanu@|@rainbow@
@drokhum@|@silver@
@drukhik@|@to itch@
@drung@|@long@
@duderi@|@far@
@duk@|@a fine among Kalash, pays 2* for taking SO's wife@
@dukan@|@a shop@
@dumik@|@to card wool@
@dundik@|@to weave a carpet@
@dur@|@house@
@e@|@hey!@
@faqat@|@only@
@fayda@|@advantage@
@fil@|@elephant@
@gadiri@|@crazy@
@gah@|@female yak@
@garam@|@warm@
@ghal@|@polo@
@ghalamus@|@a low class person@
@ghech@|@eye@
@gharib@|@destitute@
@ghot@|@dumb, unable to speak@
@gohl@|@throat@
@gom@|@I will come@
@gomit@|@brother-in-law@
@gordogh@|@donkey@
@gordoghzheri@|@baby donkey@
@gosh@|@dough@
@gosnala@|@filthy room, place where dirt is thrown@
@grinj@|@rice in a field@
@gur@|@late@
@gut@|@pony@
