@Koine Greek@|@English@
@Author name@|@John Jeffrey Dodson@
@ἄλφα @|@letter the first letter of the Greek alphabet@
@Ἀαρών -ὁ @|@Aaron@
@Ἀβαδδών -ὁ @|@Abaddon@
@ἀβαρής -ες @|@not burdensome@
@Ἀββᾶ @|@Father@
@Ἄβελ -ὁ @|@Abel@
@Ἀβιά -ὁ @|@Abijah@
@Ἀβιάθαρ -ὁ @|@Abiathar@
@Ἀβιληνή -ῆς -ἡ @|@Abilene@
@Ἀβιούδ -ὁ @|@Abiud@
@Ἀβραάμ -ὁ @|@Abraham@
@ἄβυσσος -ου -ἡ @|@the abyss, the unfathomable depth@
@Ἀγαβος -ου -ὁ @|@Agabus@
@ἀγαθοεργέω @|@I perform good deeds@
@ἀγαθοποιέω @|@I do that which is good@
@ἀγαθοποιΐα -ας -ἡ @|@the doing of that which is good@
@ἀγαθοποιός -οῦ -ὁ @|@a doer of that which is good@
@ἀγαθός -ή -όν @|@good@
@ἀγαθωσύνη -ης -ἡ @|@goodness@
@ἀγαλλίασις -εως -ἡ @|@exultation, exhilaration@
@ἀγαλλιάω @|@I exult, am full of joy@
@ἄγαμος -οῦ -ὁ -ἡ @|@unmarried@
@ἀγανακτέω @|@I am angry, am incensed@
@ἀγανάκτησις -εως -ἡ @|@indignation@
@ἀγαπάω @|@I love@
@ἀγάπη -ης -ἡ @|@love@
@ἀγαπητός -ή -όν @|@loved, beloved@
@Ἅγαρ -ἡ @|@Hagar@
@ἀγγαρεύω @|@I impress, send@
@ἀγγεῖον -ου -τό @|@a vessel, flask, can@
@ἀγγελία -ας -ἡ @|@a message@
@ἄγγελος -ου -ὁ @|@an angel, messenger@
@ἀγέλη -ης -ἡ @|@a flock, herd@
@ἀγενεαλόγητος -ον @|@of unrecorded genealogy@
@ἀγενής -ές @|@without family, ignoble@
@ἁγιάζω @|@I make holy, sanctify@
@ἁγιασμός -οῦ -ὁ @|@sanctification, holiness@
@ἅγιος -ία -ον @|@set apart, holy, sacred@
@ἁγιότης -ητος -ἡ @|@holiness@
@ἁγιωσύνη -ης -ἡ @|@a holy or sanctified state@
@ἀγκάλη -ης -ἡ @|@an arm@
@ἄγκιστρον -ου -τό @|@a fish-hook@
@ἄγκυρα -ας -ἡ @|@an anchor@
@ἄγναφος -ον @|@unshrunken, new@
@ἁγνεία -ας -ἡ @|@purity, chastity@
@ἁγνίζω @|@I cleanse, purify@
@ἁγνισμός -οῦ -ὁ @|@purification@
@ἀγνοέω @|@I do not know, am ignorant of@
@ἀγνόημα -ατος -τό @|@an offence committed through ignorance@
@ἄγνοια -ας -ἡ @|@ignorance@
@ἁγνός -ή -όν @|@pure, chaste@
@ἁγνότης -τητος -ἡ @|@purity, chastity@
