@Lakota@|@English@
@Author name@|@Mike Yarnold@
@Font@|@Arial\18\Arial\18@
@ȟ@|@Spanish J in Roja@
@-ȟléčA  (root word)@|@have a hard time splitting something (v)@
@-mnuza  (root word)@|@produce a light crunching, to   (like packed snow)@
@-mnuža  (root word)@|@produce a heavy crunching sound, to@
@-sléčA  (root word)@|@split something with ease (v)@
@Ȟ ȟ@|@[χ]    (IPA)@
@(hená) yúhapeló@|@They have (Male speaker) [hena can be dropped]@
@(hená) yúhapi@|@They have (Female speaker) [hena can be dropped]@
@(Omaha Nibthaška cognate with Lakota Mni Blaska Flat River)@|@Nebraska@
@(Your name) emáčiyapi kštó/yeló (F/M speaker)@|@My name is (your name)@
@´'@|@Glottal stop (Khéze) @
@’@|@[ʔ]    (IPA)@
@Ȟ’ahíya wóglaka yo (m>sg), Ȟ’ahíya wóglaka ye (f>sg), Ȟ’ahíya wóglaka po (m>pl), Ȟ’ahíya wóglaka pe (f>pl)@|@Please speak more slowly@
@ȟ’aŋhí@|@Slow@
@á@|@Armpit@
@ȟá@|@Bury something, to@
@A a@|@[a]     (IPA)@
@Ȟaȟa@|@Sioux Falls@
@abló@|@Shoulder blade@
@aȟčó@|@Upper arm@
@agléška@|@Lizard@
@aǧúyabskuyagmigma@|@Donut@
@Aǧúyapi@|@Bread@
@aǧúyapi blú@|@Flour@
@aǧúyapi pagmúŋpi@|@Bread rolls@
@aǧúyapi sáka@|@Bread crust@
@aǧúyapi skúyela@|@Cake@
@aǧúyapi zizípela@|@Pancakes@
@Ahoyekiciyap sni yo/ye@|@Don't bicker@
@akáŋ wówapi@|@Desk, Table@
@ake@|@You're right@
@aké napčíyuŋka@|@19@
@aké núŋpa@|@12@
@aké šaglóǧaŋ@|@18@
@aké šakówiŋ@|@17@
@aké šákpe@|@16@
@aké tópa@|@14@
@aké waŋží@|@11@
@aké yámni@|@13@
@aké záptaŋ@|@15@
@Akhé eyá pe (f>pl)@|@Please say that again@
@Akhé eyá po (m>pl)@|@Please say that again@
@Akhé eyá ye (f>sg)@|@Please say that again@
@Akhé eyá yo (m>sg)@|@Please say that again@
@Akhé ú we/wo (F/M speaker)@|@Come again@
@akíčhita wawóyuspa@|@Police person@
@akíčiktunža wo - (woman speaking)@|@Forgive me@
