@Laotian (romanized)@|@English@
@Author name@|@Freelang@
@á  sauk@|@free from care@
@á  sou chi@|@semen@
@á ba:y@|@savage region@
@á ba:y nha mauk@|@all parts which lead to destruction@
@á ba:y phoum@|@four uncivilized thing or beings@
@á ba:y phoum@|@hell@
@á ba:y phoum@|@the spirits@
@á cha ra@|@firm@
@á cha ra@|@immobile@
@á cha ra@|@steady@
@á chei la@|@naked, nude@
@á chei la ka@|@a nude ascetic@
@á chei la ka@|@a sect of Brahmins@
@á chei la ka@|@unclothed@
@á chei la ka@|@naked@
@á chi ra@|@recently@
@á chi ra@|@a short while ago@
@á chin tai@|@unimaginable@
@á chin tai@|@not soluble by thought@
@á chin tar@|@lack of thought@
@á chit thi@|@ignorance@
@á chit thi@|@lack of education or knowledge@
@á dack á dear@|@uneasy, uncomfortable. adv. too much@
@á dî:t@|@past@
@á dî:t@|@ex@
@á dî:t@|@former@
@á dî:t nack seuk sar@|@former student@
@á dî:t nack seuk sar@|@alumnae@
@á dî:t ni tharn@|@story of the past@
@á dî:t ta karn@|@in the past@
@á dî:t ta sa may@|@the past@
@á dî:t ta xard@|@Buddh@
@á dî:t ta xard@|@previous incarnation@
@á doun@|@peerless@
@á doun@|@incomparable@
@á ha@|@day@
@á ha@|@day@
@á ha@|@day@
@á ha@|@day@
@á heid@|@causeless@
@á heung teung sieng@|@happy@
@á heung teung sieng@|@delighted@
@á hi vá:@|@med.@
@á hi vá:@|@cholera@
@á hi vá: tar ka rauk@|@med.@
@á hi vá: tar ka rauk@|@bubonic pest@
@á hi vá: tar ka rauk@|@Cholera@
@á hing sar@|@nonviolence@
@á hing sar@|@nonoppression@
@á ho si kam@|@pardon@
@á ho si kam@|@grace@
@á hung karn@|@self-respect@
@á hung karn@|@pride@
@á ká nit thar@|@the sixth and highest heaven;@
@á ká nit thar@|@the great god of the sixth heaven@
@á ká ra ni@|@improper or illegal action@
@á ká ri nhar@|@passivity@
@á ká ri nhar@|@inaction@
@á ká ri nhar@|@inertia@
@á ká ri nhar@|@passivity@
@á ká ri nhar@|@inaction@
@á ká ri nhar@|@inertia@
@á ká tan yu@|@ungrateful@
@á kam ma ki ri nhar@|@gram@
@á kap pi: nha@|@improper;;@
@á kap pi: nha@|@inutile@
@á kap pi: nha@|@uncomfortable@
@á kap pi: nha vard thou@|@improper objects to use or touch@
@á kap pi: nha vo harn@|@improper words or phrases@
@á khā thi@|@contradict@
@á khā thi@|@prejudice@
@á khā thi@|@bias@
@á khā:t@|@abyss, precipice@
@á ku son@|@demerit@
@á ku son@|@evil@
@á ku son@|@sin@
@á ku son la chei ta nar@|@evil thought@
@á ku son la chei ta nar@|@sinful intention@
@á ku son la kam@|@vice@
@á ku son la kam@|@wicked action@
@á ku son la kam ma bord@|@sinful path@
@á ku son la kam ma bord@|@the way of sin@
@á ku son la moun@|@source of evil@
@á lack á leua@|@unessy@
@á lack á leua@|@uncomfortable@
@á lack sa na@|@bad character@
@á lard xi:@|@shameless@
@á lay@|@spare part@
@á ling@|@neuter@
@á ling@|@sexless@
@á lo pha@|@disinterest@
@á loum á loay@|@conciliate@
@á lung karn@|@deconration@
@á lung karn@|@ornamentation@
@á ma noud@|@inhuman being, superman@
@á ma ra@|@god@
@á ma ra@|@angel@
@á ma ra@|@immortal@
@á ma ra@|@eternal@
@á ma ra@|@everlasting@
@á ma ra@|@god@
@á ma ra@|@angel@
@á ma ra@|@immortal@
@á ma ra@|@eternal@
@á ma ra@|@everlasting@
@á ma rar va di:@|@myth@
@á ma rar va di:@|@the capital city of Indra's heaven@
@á ma reid@|@Indra@
@á ma reud@|@the water of youth@
@á ma reud@|@celestial water@
@á ma reud@|@the water of immortality@
@á ma reud ta xauk@|@lucky@
@á ma rin@|@Indra@
@á ma ta@|@Buddh@
@á ma ta@|@eternity@
@á ma ta@|@immortal@
@á ma ta bod@|@Buddh@
@á ma ta bod@|@the way to nirvana@
@á ma ta nhou@|@immortality@
@á ma ta rod@|@elixir of immortality@
@á ma ta rod@|@celestial water@
@á mard@|@royal minister@
@a me li ka@|@America (USA)@
@á mei li kar@|@America@
@á mid@|@enemy@
@á mid@|@unfriendly@
@á mid@|@enemy@
@á mid@|@unfriendly@
@á mon@|@god@
@á mon@|@angel@
@á mon@|@immortal@
@á mon@|@eternal@
@á mon@|@everlasting@
@á mon@|@god@
@á mon@|@angel@
@á mon@|@immortal@
@á mon@|@eternal@
@á mon@|@everlasting@
@á mon@|@god@
@á mon@|@angel@
@á mon@|@immortal@
@á mon@|@everlasting@
@á mon@|@eternal@
@á mon@|@god@
@á mon@|@angel@
@á mon@|@immortal@
@á mon@|@everlasting@
@á mon@|@eternal@
@á mon bor di:@|@Supreme Deity@
@á mon pharp@|@immortality@
@á mon rard@|@diamond@
@á mon rard@|@Indra@
@á na nha@|@misfortune@
@á na nha@|@calamity@
@á na nha@|@destruction@
@á na nha@|@ruin@
@á na vard@|@pure@
@á na vard@|@faultless@
@á ná: charn@|@shamelessness@
@á ná: charn@|@misconduct@
@á ná: charn@|@indecent conduct@
@á ná: charn@|@bad behaviour@
@á ná: khōt@|@the future@
@á ná: khōt an sauk say@|@bright future@
@á ná: khōt ta karn@|@future time@
@á ná: khōt ta karn@|@gram. future tense@
@á ná: lay@|@Buddh@
@á ná: lay@|@nirvana@
@á ná: lay@|@without care or ambition@
@á ná: lay@|@homelessness@
@á ná: lay@|@lack of desire@
@á ná: lay@|@Buddh@
@á ná: lay@|@nirvana@
@á ná: lay@|@without care or ambition@
@á ná: lay@|@homelessness@
@á ná: lay@|@lack of desire@
@á ná: may@|@physical health@
@á ná: may@|@wash@
@á ná: may@|@clean@
@á ná: may@|@physical health@
@á ná: may@|@wash@
@á ná: may@|@clean@
@á ná: ra nha@|@uncivilized@
@á ná: ra nha@|@barbarous@
@á ná: ri nha tham@|@uncivilised@
@á ná: ri nha tham@|@bararous@
@á ná: ri nha tham@|@savage@
@á ná: ri nha tham@|@imperfect@
@á ná: ri nha tham@|@wicked@
@á ná: ri nha tham@|@asocial@
@á ná: ri nha tham@|@shyness@
@á ná: ri nha tham@|@wildness@
@á ná: ri nha tham@|@uncivilised@
@á ná: ri nha tham@|@bararous@
@á ná: ri nha tham@|@savage@
@á ná: ri nha tham@|@imperfect@
@á ná: ri nha tham@|@wicked@
@á ná: ri nha tham@|@asocial@
@á ná: ri nha tham@|@shyness@
@á ná: ri nha tham@|@wildness@
@á ná: ri nha xon@|@savage@
@á ná: ri nha xon@|@barbarian@
@á ná: ri nha xon@|@clan@
@á ná: ri nha xon@|@tribe@
@á ná: ri nha xon@|@hord@
@á ná: ri nha xon@|@savage@
@á ná: ri nha xon@|@barbarian@
@á ná: ri nha xon@|@clan@
@á ná: ri nha xon@|@tribe@
@á ná: ri nha xon@|@hord@
@á ná: thar@|@orphan@
@á ná: thar@|@without help@
@á ná: thar@|@no protector@
@á ná: thar@|@Destitute@
@á ná: thar@|@homeless@
@á ná: thar@|@vagrant@
@á ná: thar@|@orphan@
@á ná: thar@|@without help@
@á ná: thar@|@no protector@
@á ná: thar@|@Destitute@
@á ná: thar@|@homeless@
@á ná: thar@|@vagrant@
@á ná: thon@|@disinterest@
@á ná: thon@|@nonchalance@
@á ná: thon@|@miserly@
@á ná: thon@|@careless@
@á ná: thon@|@heedless@
@á ná: thon@|@disinterest@
@á ná: thon@|@nonchalance@
@á ná: thon@|@miserly@
@á ná: thon@|@careless@
@á ná: thon@|@heedless@
@á nan@|@Buddh@
@á nan@|@nirvana@
@á nan@|@endless@
@á nan nha kha ti@|@the only method@
@á nan sar tharn@|@special@
@á nan sar tharn@|@particular@
@á nan ta@|@great@
@á nan ta@|@abundant@
@á nan ta@|@infinite.@
@á nan ta kar la@|@interminable@
@á nan ta kar la@|@endless@
@á nan ta ra@|@continuous@
@á nan ta ra@|@much@
@á nan ta ra@|@without interruption@
@á nan ta ri nha kam@|@Buddh@
@á nan ta ri nha kam@|@great crimes@
@á nan ta ri nha kam@|@of five classifications@
@á nar khar mi:@|@Buddh. wise men, of three classes, who have passed beyond reincarnation into nirvana@
@á nar khar mi: mack@|@Buddh@
@á nar khar mi: mack@|@the path to nirvana@
@á nard@|@pitiful@
@á nard@|@piteous@
@á nard@|@distressed@
@á nard tar@|@bodiless@
@á nard tar@|@incorporeal@
@á nard tar@|@soulles@
@á nard tha@|@fruitless@
@á nard tha@|@infertile@
@á nard tha@|@useless@
@á neid á nard@|@pitiful@
@á neid á nard@|@pathetic@
@á nek@|@plural@
@á nek@|@much@
@á nek@|@many@
@á nek á nan@|@abundant@
@á nek á nan@|@many@
@á nek á nan@|@innumerable@
@á nek nong@|@abounding@
@á nek pa karn@|@abundant@
@á nek pa karn@|@abundant@
@á nek vid@|@diverse@
@á ngūn@|@grape@
@á ngūn@|@wine@
@á nha na@|@way@
@á nha na@|@path@
@á nha na@|@passage@
@á nha, á nhard@|@iron@
@á nha, á nhard@|@iron@
@á nhou ti tham@|@unfair@
@á nhou ti tham@|@unjust@
@á nīd bod@|@unstable@
@á nīd bod@|@inconsotant@
@á nīd bod@|@uncertain@
@á nīd cá char@|@injustice@
@á nīd cá char@|@instability@
@á nīd cá char@|@perishable@
@á nīd cá char@|@ephemeral@
@á nīd chá@|@injustice@
@á nīd chá@|@instability@
@á nīd chá@|@not eternal@
@á nīd chá@|@perishable@
@á nīd chá kam@|@death@
@á nīd cha:@|@sympathetic@
@á nid char@|@Sympathetic@
@á nīd chung@|@instability@
@á nīd chung@|@inconstancy@
@á nīd chung@|@a cry for pity@
@á nīd chung@|@injustice@
@á nīd chung@|@instability@
@á nīd ka thard sa na@|@military review@
@á nīd ka, á neuk@|@army@
@á nīd ka, á neuk@|@army@
@á nīd la@|@wind@
@á nīd nhod@|@unstable@
@á nīd nhod@|@inconstant@
@á nīd nhod@|@uncertain@
@á nīd nhom@|@abnormal@
@á nīd nhom@|@unconventional@
@á nīd nhom@|@unprescribed@
@á nīd nhom@|@indeterminate@
@á nīd nhom@|@not popular@
@á nīd tha@|@distasteful@
@á nīd tha@|@disagreeable@
@á nīd thar rom@|@feeling@
@á nīd thar rom@|@emotions or sentiments not to be desired@
@á nīd thar rom@|@due to loss of fortune@
@á nīd xid@|@win or succeed repeatedly@
@á no xar@|@a bush with dark red flowers@
@á nong@|@beauty in a woman@
@á nong kha na@|@passionless@
@á nong kha na@|@serene@
@á noud tha ra@|@incomparable@
@á noud tha ra@|@supreme@
@á nū@|@small@
@á nū@|@tiny@
@á nū@|@small@
@á nū@|@tiny@
@á nū ban nhard@|@supplementary rule@
@á nū barn@|@nourish@
@á nū barn@|@watch over@
@á nū barn@|@protect@
@á nū barn@|@take care of@
@á nū bod@|@chorus@
@á nū bod@|@refrain@
@á nū chon@|@follower@
@á nū chon@|@imitator@
@á nū chon@|@companion@
@á nū chon@|@rank of bonzes@
@á nū hack sar@|@presvation@
@á nū hack sar@|@protection@
@á nū kam ma karn@|@subcommittee@
@á nū karn@|@imitation@
@á nū khar mi:@|@follower@
@á nū khar mi:@|@partisan@
@á nū khar mi:@|@comrade@
@á nū khar mik@|@following@
@á nū khar mik@|@comradely@
@á nū khor@|@help@
@á nū khor@|@support@
@á nū khor@|@generosity@
@á nū kom@|@series@
@á nū kom@|@order@
@á nū kom@|@rank@
@á nū kon@|@assistant@
@á nū kon@|@apprentice@
@á nū ku:n@|@help@
@á nū ku:n@|@support@
@á nū ku:n@|@sustain@
@á nū ku:n@|@be generous@
@á nū lack@|@conserve@
@á nū lack@|@protect@
@á nū lack@|@preserve@
@á nū lack ni nhom@|@the Conservative Party@
@á nū lard@|@royal successor; second king@
@á nū lo tha nar@|@favourable@
@á nū lo tha nar@|@regular order@
@á nū lom@|@favourable Adv. . V. , , , , , , . N.@
@á nū lom@|@regular order@
@á nū lom@|@odinary@
@á nū lom@|@suitable@
@á nū lom@|@sufficient@
@á nū lom@|@conforming to@
@á nū lom@|@According to natural principles@
@á nū lom@|@consent@
@á nū lom@|@oblige@
@á nū lom@|@follow@
@á nū lom@|@imitate@
@á nū lom@|@yield@
@á nū lom@|@obey@
@á nū lom@|@obedience@
@á nū lom@|@correspond@
@á nū lom@|@favourable@
@á nū lom@|@regular order@
@á nū lom@|@regular order@
@á nū lom@|@odinary@
@á nū lom@|@suitable@
@á nū lom@|@sufficient@
@á nū lom@|@conforming to@
