@Laotian@|@English@
@Author name@|@Freelang@
@ກ@|@the first consonant of Lao alphabet@
@ກະ@|@estimate work@
@ກະການ@|@guest@
@ກະການ@|@estimate@
@ກະການໄວ້@|@guest@
@ກະການໄວ້@|@estimate@
@ກະການເບິ່ງ@|@guest@
@ກະການເບິ່ງ@|@estimate@
@ກະການວ່າ@|@guest@
@ກະການວ່າ@|@estimate@
@ກະການເອົາ@|@guest@
@ກະການເອົາ@|@estimate@
@ກະການໃຫ້@|@oblige@
@ກະການໃຫ້@|@require@
@ກະການໃຫ້@|@exact@
@ກະເກນ@|@prepare@
@ກະກຽມ@|@the five wise men@
@ກະກຸສັນໂທ@|@the five royal accoutrements@
@ກະກຸທະພັນ@|@dynasty@
@ກະກຸທະພັນ@|@family@
@ກະກຸນ@|@corvee@
@ກະກຸນ@|@forced labor@
@ກະເກນການ@|@project@
@ກະເກນການ@|@plan@
@ກະໂງການ@|@brilliant clear@
@ກະຈະ@|@average person@
@ກະຈາ@|@a large wicker fish trapaverage person@
@ກະຈູ້@|@plate@
@ກະຈູ້@|@panner@
@ກະຈາດ@|@face powder@
@ກະຈາດ@|@scented powder@
@ກະແຈະ@|@spread@
@ກະແຈະ@|@scatter@
@ກະແຈະ@|@disseminate@
@ກະຈາຍ@|@broadcast@
@ກະຈາຍສຽງ@|@parse@
@ກະຈາຍຄຳ@|@conjugate@
@ກະຈາຍຄຳກິລິຍາ@|@open ranks@
@ກະຈາຍຄຳກິລິຍາ@|@spread out in line@
@ກະຈາຍແຖວ@|@decentralize@
@ກະຈາຍອອກໄປ@|@decentralize@
@ກະແຈ@|@key@
@ກະແຈ@|@lock@
@ກະແຈດານ@|@locking bar@
@ກະແຈມື@|@handcuffs@
@ກະແຈວຽນ@|@epiphytic fern@
@ກະແຈວຽນ@|@used medicinally for sores@
@ກະເຈາະກະຈອກ@|@happy@
@ກະເຈົາ@|@jute@
@ກະເຈົາ@|@corchorus capsularis@
@ກະຈຸກ@|@bunch or bunch of grass@
@ກະຈຸກກະຈິກ@|@trifling@
@ກະຈຸກກະຈິກ@|@trivial@
@ກະຈັຽະກະຈຽກ@|@happy@
@ກະຈົວະກະຈວກ@|@press for something@
@ກະຈົກ@|@Mirror@
@ກະຈົກ@|@glass@
@ກະຈົກແຍງຫນ້າ@|@mirror@
@ກະຈົກແກ້ວ@|@mirror@
@ກະຈົກແກ້ວ@|@looking glass@
@ກະຈົກລົດຍົນ@|@windshield@
@ກະຈອນ@|@earning@
@ກະຈອນຍອຍ@|@earning with pendant@
@ກະຈອນຫູ@|@earning@
@ກະຈອ້ນ@|@squirrel@
@ກະຈັງ@|@water chestnut@
@ກະຈັງ@|@caltrop@
@ກະຈອກ@|@sparrow@
@ກະຈາງ@|@bird of one of the following species@
@ກະຈິງ@|@bird of one of the following species@
@ກະຈັງ@|@design in squares@
@ກະຈ່າງ@|@clear@
@ກະຈ່າງ@|@light@
@ກະຈ່າງ@|@bright@
@ກະຈົງ@|@mouse deer@
@ກະຈຽວ@|@edible flower@
@ກະຈຽວຂາວ@|@plant@
@ກະຈຽວຂາວ@|@edible flower@
@ກະຈຽວຂາວ@|@curcuma@
@ກະຈຽວແດງ@|@medical plant@
@ກະຈຽວແດງ@|@curcuma@
@ກະຈຽວລາຍ@|@plant@
@ກະຈຽວລາຍ@|@curcuma parviflora@
@ກະຈຸຍ@|@scattered in disorder@
@ກະຈຸຍກະຈາຍ@|@disorderly@
@ກະໂຈມ@|@Crown@
@ກະໂຈມຫົວ@|@turban@
@ກະຈັດ@|@Destroy@
@ກະຈັດ@|@expel@
@ກະຈັດກະແຈງ@|@active@
@ກະຈັດກະຈາຍ@|@scattered@
@ກະຈັດກະຈາຍໄປ@|@scatter@
@ກະຈັ້ນ@|@frequently@
@ກະຈັ້ນກະຈໍ່@|@press for (something)@
@ກະຈິ້ນ@|@a kind of chipmunk@
@ກະໂຈນ@|@jump@
@ກະໂຈນ@|@leap@
@ກະໂຈນ@|@dive@
@ກະຈົນ@|@a small fish@
@ກະຈວນ@|@powdered@
