@Ligurian@|@English@
@Author name@|@GENOVES.com.ar@
@Font@|@Arial\12\Arial\12@
@a@|@to@
@a (fsing)@|@the (fsing)@
@a babà@|@going for a stroll@
@a batagión@|@in plenty, in abundance, galore, in great quantity@
@a bezèffe@|@in plenty, in abundance, galore, in great quantity@
@a bón mercòu@|@cheap, at a good price@
@a bón pàtto@|@cheap, at a good price@
@a bón prêxo@|@cheap, at a good price@
@a cà@|@at home@
@a caræ@|@by the wagonload@
@a câxo@|@at random, randomly@
@A Ciàppa@|@Chiappa (IM)@
@a ciù no pòsso@|@for all the worth, with all one's strength, to the max@
@a ciù pàrte@|@the majority, most@
@a còuza de@|@because of@
@a despêto de@|@despite@
@a dezêuvio@|@in plenty, in abundance, galore, in great quantity@
@a dî a veitæ@|@in all truth, truth be told, truthfully@
@a dî o vêo@|@in all truth, truth be told, truthfully@
@a dîla comm'a l'é@|@in all truth, truth be told, truthfully@
@a dîla sccétta@|@in all truth, truth be told, truthfully@
@a dinæ contànti@|@cash, in cash@
@A Döia@|@La Doria (GE)@
@a domàn!@|@until tomorrow!@
@a éuggio@|@at a guess@
@a fadîga@|@barely, hardly, scarcely@
@a foticû@|@in a big mess@
@a gàlla@|@afloat@
@a giornâ d'ancheu@|@nowadays@
@a góssa a góssa@|@drop by drop@
@a îsa a îsa@|@barely, hardly, scarcely@
@a l'antîga@|@old-fashioned@
@a l'aparénsa@|@apparently@
@a l'atàsto@|@groping around@
@a l'avèrto@|@outdoors, out-of-door(s), plein-air, out in the open@
@a l'é@|@she is, it is (f)@
@a l'estranxêo@|@abroad, overseas@
@a l'indomàn@|@the day after, the next day, the following day@
@a l'inprovîzo@|@unexpectedly@
@a l'òcaxón@|@conveniently, opportunely@
@a lóngo@|@for a long time@
@a l'òpòsto@|@contrarily, on the contrary, on the other hand@
@a l'ùrtima mòdda@|@cutting-edge, in the latest fashion@
@a mæ@|@my (f), mine (f)@
@a mæ giudìçio@|@in my opinion@
@a mæ pài@|@in my opinion@
@A Mænn-a (Zêna)@|@Marina (district of Genoa)@
@a mæxima@|@the same (f)@
@a magiorànsa@|@the majority, most@
@a malapénn-a@|@barely, hardly, scarcely@
@a me mànca@|@I miss her, I miss it (f)@
@a mêgio@|@the best (f)@
@a meitæ@|@half@
@a memöia@|@by heart@
@a mêno prêxo@|@cheaper@
@a mezûa de carbón@|@in plenty, in abundance, galore, in great quantity@
@a mùggi@|@in plenty, in abundance, galore, in great quantity@
@a nêuo@|@afloat@
@a 'n'ôa@|@at one o'clock@
@a nómme de@|@on behalf of@
@a nòstra@|@our (fsing)@
@a pàrte@|@apart, besides@
@a pasétto a pasétto@|@step by step@
@a pê@|@by foot, on foot@
@a pê nûi@|@barefoot@
@a piaxéi@|@as desired, to one's taste, of one's choice, of one's choosing@
@a pìcco@|@precipitous@
@a pitìn a pitìn@|@little by little@
@a pöco a pöco@|@little by little@
@a pöco prêxo@|@at a low price, cheap@
@a pòsto@|@well (adv.)@
@A Prîa@|@Pietra Ligure (SV)@
@a prionæ@|@by throwing stones@
@a propòxito@|@by the way, incidentally@
@a propòxito de@|@speaking of, regarding...@
@a quæ@|@which (f)@
@a rebócco@|@in plenty, in abundance, galore, in great quantity@
@a réizego@|@in risk@
@a rêo@|@at random, arbitrarily, galore@
@a revéise!@|@see you!@
@a rivédise!@|@see you!@
@a rótta de còllo@|@at breakneck speed@
@A Rûa@|@Ruta (GE)@
@a sasciæ@|@by throwing stones@
@a scabéccio@|@marinated@
@a seu@|@his (f), her (f)@
@a sò@|@his (f), her (f)@
@a spàsso@|@going for a stroll@
@A Spézza@|@La Spezia (SP)@
@a tànto a-o méize@|@in instalments, in installments@
@a tòcchi@|@to pieces, in pieces@
@a tonbolón@|@tumbling@
@a travèrso@|@through, across@
@a vòstra@|@your (you all)(fsing)@
@a zazùn@|@with an empty stomach@
@a-a@|@to the (f)@
@âa (nf)@|@fin, wing@
@a-a bagàrda@|@carelessly, roughly@
@a-a biscanbìggia@|@carelessly, roughly@
@a-a biscöchìnn-a@|@carelessly, roughly@
@a-a buzarónn-a@|@carelessly, roughly@
@a-a carlónn-a@|@carelessly, roughly@
@a-a córsa@|@rushing, in a hurry@
@a-a despiâ@|@desperately@
@a-a drîta@|@on the right, to the right@
@a-a fìn@|@finally@
@a-a giàbba@|@free (costing nothing)@
@a-a giornâ d'ancheu@|@nowadays, currently@
@a-a làrga@|@away@
@a-a létia@|@literally@
@a-a mancìnn-a@|@on the left, to the left@
@a-a meitæ@|@in half@
@a-a perfeçión@|@perfectly@
@a-a pêzo@|@at worst@
@a-a revèrsa@|@backwards, upside down@
@a-a rinfûza@|@untidily, senselessly, haphazardly, in a jumble, randomly, helter skelter@
@a-a sbæra@|@untidily, senselessly, haphazardly, in a jumble, randomly, helter skelter@
@a-a spedîa@|@quickly@
@abachìn@|@abacus@
@abaçîa@|@abbey@
@abadéssa@|@abbess@
@abæn (nm)@|@slate tile@
@abandón@|@abandon@
@abandonâ@|@to abandon@
@abarlugâ@|@to dazzle@
@abarufâse@|@to quarrel@
@abàsta@|@enough@
@abastànsa@|@enough@
@abàtte@|@to tear down, to deject, to dishearten@
@abatûo@|@dejected, downhearted@
@abelinòu@|@dumb, stupid@
@abesîo@|@numb, stiff@
@abilitâ@|@to authorize@
@abitâ@|@to live in, to inhabit@
@abitànte@|@inhabitant@
@abitoâse@|@to get used to@
@abitùdine@|@habit@
@abocâ@|@to bite@
@abolî@|@to abolish@
@aboliciòu@|@effeminate@
@abonâ@|@to pay@
@abondànsa@|@abundance, plenty@
@abondànte@|@abundant, plentiful@
@abòsso@|@outline, sketch, draft@
@abòu@|@abbot@
@abrasâ@|@to embrace, to hug@
@abrascòu@|@voracious, wildly hungry@
@abràsso@|@hug@
@abrenzoî@|@to numb@
@abrenzoîo@|@numb@
@abrétio@|@arbitrarily, without rule, at random, randomly@
@abreviâ@|@to abbreviate, to cut short@
@abreviaçión@|@abbreviation@
@Abrùzzo@|@Abruzzi (Italian region)@
@abuxîvo@|@abusive@
@abuzâ@|@to abuse@
@abûzo@|@abuse@
@açâ (nm)@|@steel@
@académia@|@academy@
@acamalâ@|@to carry@
@acànto@|@beside@
@acànto a@|@beside@
@acapî@|@to understand@
@acaponâse (a pélle)@|@to get goose bumps, to get goose pimples@
@acatâ@|@to buy, to purchase@
@acaxonâ@|@to cause, to bring about@
@açéizo@|@lit@
@açénde@|@to switch on, to light, to turn on@
@acénto@|@accent, stress (accent)@
@açénto@|@accent, stress (accent)@
@acèsso@|@access@
@acetâ@|@to accept@
@achéugge@|@to gather, to collect, to fetch, to pick up@
@açiâ@|@to incite@
@aciamâ scûze@|@to apologise, to apologize@
@aciantâ@|@to plant@
@aciapâ@|@to reach, to get@
@aciapâ unna testâ@|@to bang one's head, to hit one's head@
@açidénte@|@accident@
@açimentâ@|@to provoke@
@açión@|@action@
@acoêgâse@|@to lie down@
@acoêgòu@|@lying down@
@acomodâ@|@to accommodate@
@aconpagnâ@|@to accompany@
@aconpagnaménto@|@accompaniment@
@acòrdio@|@agreement, chord@
@acostipâse@|@to catch a cold@
@acostipòu@|@having a cold@
@acrastâ@|@to castrate@
@acugéito@|@gathered@
@acurtî@|@to shorten@
@acurtîse@|@to get shortened@
@acuzatîvo@|@accusative@
@Adàmmo@|@Adam@
@adatâ@|@to adapt@
@adatòu@|@suitable@
@adàtto@|@suitable@
@adâxo@|@slowly, gently@
@adegoòu@|@appropriate, suitable@
@adentâ@|@to bite@
@aderî@|@to paste@
@adesciâ@|@to wake (somebody) up@
@adesciâse@|@to wake up@
@adéscio@|@awake@
@adêuviâ@|@to use@
@adexîvo@|@adhesive@
@adîo@|@goodbye@
@adîo a-o fantinægo@|@stag night, stag party, stag do, bachelor party, hen night, hen party, hen do@
@adôçî@|@to sweeten, to sugar, to soothe, to mellow, to soften@
@adôçîo@|@sweetened@
@adoçión@|@adoption@
@adolescénsa@|@adolescence@
@adomestegâ@|@to tame, to domesticate, to house-train, to subdue@
@adonetòu@|@effeminate@
@adormigiòu@|@sleepy, drowsy@
@adormîo@|@sleepy, drowsy@
@adormîse@|@to get sleepy, to drowse@
@adornâ@|@to decorate@
@adòsso@|@on, over@
@adotâ@|@to adopt@
@adreitûa@|@even, undoubtedly@
@adrésso (pop.)@|@address@
@Adriàn@|@Hadrian@
@adriàtico@|@Adriatic@
@adùlto@|@adult@
@a-e cùrte@|@briefly, in a few words@
@æga@|@seaweed@
@ægoa@|@water@
@ægoa de sciô de çetrón@|@orange blossom water@
@ægoa minerâle@|@mineral water@
@ægoa râxa@|@turpentine, turps@
@ægoàssa@|@shower (rain), downpour@
@ægro@|@sour@
@ægrodôçe@|@bittersweet@
@ængo@|@herring@
@ænn-a@|@sand@
@æo@|@ram, mutton, Aries@
@aèreo@|@airplane, aerial@
@aeronòutico@|@aeronautical@
@aeropòrto@|@airport@
@afacendòu@|@busy@
@afadigòu@|@tired@
@afamòu@|@hungry@
@afâre (nm)@|@business, matter, subject@
@afascinànte@|@fascinating@
@afeçión@|@affection@
@afeçionâse@|@to be affectionate@
@afermâ@|@to state, to declare, to assent@
@afermaçión@|@affirmation, statement@
@afermatîvo@|@affirmative@
@afetâ@|@to affect@
@afetôzo@|@affectionate@
@afétto@|@affection@
@afiâ@|@to sharpen@
@afinché@|@so that, in order to@
@afitâ@|@to rent@
@afìtto@|@rent@
@aflîto@|@afflicted@
@aflìzze@|@to afflict@
@àfou (ant.)@|@disgust@
@Àfrica@|@Africa@
@africàn@|@African@
@afumegòu@|@smoked, cured (food)@
@agensîa@|@agency@
@agetîvo@|@adjective@
@àggio@|@garlic@
@agiàdda@|@garlic and vinegar sauce@
@agiornâ@|@to update@
@agiornaménto@|@update@
@agiornòu@|@up-to-date@
@agiustâ@|@to adjust, to settle, to fix, to repair@
@agiustâse@|@to adapt oneself, to adjust oneself@
@agiutâ@|@to help@
@agiùtto@|@help@
@âgna@|@spider@
@agoantâ@|@to keep, to retain, to drag along, to pull along@
@agoantâse@|@to cling, to hold@
@agoeitâ@|@to spy, to peek, to peep@
@agóggia@|@needle@
@àgogia@|@eagle, buzzard@
@agósto@|@August@
@agradî@|@to please@
@agredî@|@to assault@
@agrepîo@|@contracted, cramped@
@agrepîse@|@to contract, to cramp, to become contracted@
@agricoltûa@|@agriculture@
@âgro@|@sour@
@âgrodôçe@|@bittersweet@
@agropâ@|@to tie@
@agusâ@|@to sharpen@
@agùsso@|@acute, sharpened, treble, high-pitched@
@ahimè mi!@|@poor me!@
@ahimì!@|@poor me!@
@âia (nf)@|@air@
@airón@|@heron@
@alandronòu@|@unkempt@
@alantôa@|@then, in those days@
@albanéize@|@Albanian@
@Albanîa@|@Albania@
@albèrgo@|@hotel, accomodation@
@àlbon (nm)@|@album@
@alê!@|@let's go!@
@alegâ@|@to attach@
@alegòu@|@attached@
@alêgra@|@happy (f), glad (f), cheerful (f), merry (f)@
@alegraménte@|@happily@
@alêgri!@|@hi!, hello!@
@alêgro@|@happy (m), glad (m), cheerful (m), merry (m)@
@aleitâ@|@to breastfeed, to milk@
@alenâ@|@to train, to work out@
@alenatô@|@trainer@
@aleòu@|@allied, ally@
@alevâ@|@to breed, to raise, to nurture, to bring up@
@alevaménto@|@upbringing, nurturance, raising, breeding@
@alevatô@|@breeder, farmer@
@alevéuia@|@upbringing, nurturance, raising, breeding@
@alêvo@|@pupil, student@
@Alfrêdo@|@Alfred@
