@Macedonian@|@English@
@Author name@|@Vasilevski Goce@
@Font@|@Macedonian Tms\14\Arial\12@
@'rt@|@bill (2) n@
@"boza"@|@schmal(t)z@
@"devojka za s#"@|@factotum@
@"fin" ~ovek (`ena)@|@prudish@
@"fin" ~ovek (`ena)@|@prude@
@"finost"@|@prudery (prudishness)@
@"h" (bukvata)@|@aitch@
@"igra~ka"@|@plaything@
@"iskopuva" (pari za da plati)@|@fork out@
@"izveduva"@|@act up (coll)@
@"kamen"@|@dib, oof (arch Br sl)@
@"leta"@|@let it rip@
@"limonada"@|@schmal(t)z@
@"nos"@|@instinct@
@"pile"@|@pep@
@"pro{i{uva" (kolata)@|@rip along@
@"se jade"@|@eat one's heart out@
@"selanin"@|@yokel@
@"svin~e"@|@porky@
@"sviwa"@|@slob (sl)@
@"tra-la-la"@|@hooha@
@"vol"@|@slob (sl)@
@(`iteli na) predgradija@|@suburbia@
@(n)@|@overflow@
@(se) istaknuva@|@flaunt@
@(vid) bagrem@|@locust@
@(vnimanie)@|@engross@
@@imi Gospoda@|@My faith@
@@iti Boga!@|@blimey@
@[to misli{?@|@How's that?@
@[to rekovte?@|@I beg your pardon!@
@[ve|anec@|@Swede (n)@
@[ve|anka@|@Swede (n)@
@[vedski jazik@|@Swedish@
@\avol da go zeme!@|@Blast it!, O bother it!@
@^isti se!@|@Fuck off!, Piss off!@
@`aba@|@frog@
@`abar (razg)@|@dago (Am coll)@
@`abica@|@frog (n)@
@`ad@|@jade 1@
@`agor@|@murmur, hubble-bubble, hubbub@
@`agorewe@|@murmur@
@`agori@|@murmur v@
@`aket~e (`ensko)@|@spencer@
@`al@|@sadness, affliction@
@`alam (ne mo`am da dojdam)@|@I'm afraid@
@`alba@|@mournfulness, plaint@
@`alen@|@sad, plaintive@
@`alewe@|@repentance, whine, contrition@
@`ali@|@mourn, repent@
@`ali za@|@bemoan, bewail@
@`alopojka@|@jeremiad@
@`alosen@|@sad@
@`alost@|@sadness@
@`alovnost@|@plaintiveness@
@`anr@|@genre@
@`ar@|@zeal, hotness@
@`ar@|@zest, ardour, blaze@
@`argon@|@argot@
@`ari@|@glow@
@`ari{te@|@hot bed@
@`ari{te na nemiri@|@hot spot@
@`drebe@|@horse, foal@
@`driga@|@belch@
@`drigawe@|@eructation@
@`e`ok@|@hot@
@`e`ok pojas@|@torrid zone@
@`e{tina@|@acerbity, acuteness@
@`eladi@|@mast 2@
@`elatin@|@gelatine (gelatin), aspic@
@`elatiniziran@|@gelatinous@
@`elatinski@|@gelatinous@
@`elba@|@yen (coll), itch, goodwill@
@`elba (za)@|@calling (n)@
@`elba da se povela (zapoveda)@|@bossiness@
@`ele bombon@|@gum 2@
@`ele bombon@|@gumdrop@
@`elen@|@zealous@
@`elen (za)@|@keen set@
@`elen za znaewe@|@inquisitive@
@`elezen@|@ferous@
@`elezen tigan (Am)@|@spider@
@`elezna ~ivija@|@rivet@
@`elezni~ka trasa@|@permanent way@
@`elka@|@turtle@
@`eludo~en@|@gastric@
@`ena@|@dame@
@`ena-ubiec@|@murderess@
@`ena (prosta)@|@jade@
@`ena koja dr`i javna ku}a@|@bawd@
@`ena na kriminalec@|@moll (sl)@
@`ena samotnik@|@anchoress@
@`ena xin@|@giantess@
@`eni@|@addict@
@`enidba@|@marriage@
@`enidben@|@conjugal@
@`enka@|@dam@
@`enka (ptica)@|@hen@
@`enkar@|@beau (pl beaus beaux)@
@`enska@|@jade, dame@
@`enska dolna obleka@|@undies (pl)@
@`enska sedenka@|@hen party@
@`enskar@|@dangler@
@`enski elek@|@bodice@
@`enski ga}i~ki@|@panties@
@`ensko (sl)@|@piece of goods@
@`esti@|@acerbate@
@`estina@|@vigour vigor (Am), biliousness (fig)@
@`estok@|@vigorous.ly, outrageous, keen (fig), forceful, hot@
@`estok (pijalok)@|@short (n)@
@`estoka bitka@|@battle royal@
@`estoka borba@|@war to the knife@
@`estoko@|@like a house on fire, hotly@
@`estoko kara@|@blast off@
@`evolewe@|@lap 2 (n)@
@`evoli@|@lap 2, munch@
@`ezlo@|@mace@
@`ezlonosec@|@mace bearer@
@`i~ka@|@filament@
@`ica (od zlatonosen kvarc)@|@reef@
@`igolo@|@gigolo@
@`igosuva (javno)@|@proscribe@
@`igosuvawe@|@proscription@
@`ilet@|@blade@
@`imi boga@|@My God@
@`imi Gospod@|@upon my conscience@
@`ir@|@acorn@
@`irafa@|@giraffe@
@`irant@|@guarantor, surety@
@`iro smetka@|@bank account@
@`iroskop@|@magic lantern, gyroscope (coll gyro)@
@`iroskopski@|@gyroscopic@
@`itel@|@dweller, inhabitant@
@`itel na pograni~no podra~je@|@borderer@
@`itel na predgradie@|@suburbanite@
@`itel od ostrovot Man@|@Manx@
@`iteli@|@people pl@
@`itelstvo@|@inhabitance@
@`itelstvo@|@inhabitancy@
@`iv@|@perky, mercurial (fig), zippy, spry, above ground@
@`iv (opis gluma)@|@vivid@
@`iv (su{testvo)@|@animate@
@`iva@|@mercury@
@`ivar@|@hick@
@`iveali{te@|@quarters, abode, dwelling house, inhabitation@
@`ivee@|@abide, dwell dwelled dwelt, get by@
@`ivee (so)@|@shack up@
@`ivee (vo ku}a)@|@inhabit@
@`ivee na ne~ij grb@|@batten on@
@`ivee na selo@|@rusticate@
@`ivee so@|@herd (v)@
@`ivee zaedno@|@run harness@
@`iveewe (mesto na)@|@inhabitation@
@`ivin@|@mercurial@
@`ivnat@|@animate@
@`ivo su{testvo@|@animal@
