@Malay@|@English@
@Author name@|@Moosa Abdulla / Wu-Kung Sun@
@abad@|@century@
@abadi@|@eternal, immortal@
@abah@|@father@
@abah-abah@|@harness@
@abai@|@neglect@
@abang@|@elder brother@
@abang@|@brother (elder)@
@abang angkat@|@foster brother@
@abang ipar@|@brother-in-law@
@abang tiri@|@stepbrother@
@abdi@|@slave@
@abjad@|@alphabet@
@abu@|@ash@
@abuk@|@dust@
@abung@|@pomelo@
@acah@|@tease@
@acapkali@|@often@
@acar@|@pickle@
@acara@|@event, item in a programme@
@aci@|@shaft@
@acu@|@to direct weapon at target@
@acuan@|@a mould@
@acuh@|@to care for, to heed@
@acuh tak acuh@|@to show indifference@
@acum@|@provoke or instigate@
@acuman@|@provocation@
@ada@|@have@
@ada@|@have, possess, contain@
@adab@|@politeness, good manners, courtesy@
@adakala@|@sometimes@
@adakalanya@|@sometimes@
@adalah@|@is, are, am, was, were@
@adang@|@obstruct, block@
@adapun@|@with regard to@
@adas@|@fennel (yellow-flowered fragrant herb)@
@adat@|@custom, social tradition or practice@
@adegan@|@scene@
@adib@|@well-mannered@
@adik@|@younger brother/sister@
@adik@|@younger brother or sister@
@adik lelaki@|@brother (younger)@
@adik-beradik@|@brothers and sisters@
@adik-beradik@|@brother+sister+yourself (sibling)@
@adikung@|@assistant officer@
@adil@|@fair, just@
@adinda@|@younger brother or sister (esp. in letter-writing@
@adu@|@complain, compete@
@aduan@|@complaint@
@aduh@|@exclamation of pain@
@aduhai@|@exclamation of sorrow@
@aduk@|@mix, stir@
@adun@|@knead (dough)@
@adunan@|@dough@
@afiat@|@healthy@
@afrit@|@goblin, mischievous elf or spirit@
@agah@|@murmuring sound@
@agak@|@quite@
@agak@|@guess@
@agak-agak@|@to guess, approximately@
@agaknya@|@perhaps, maybe@
@agam@|@immeasurable, immense@
@agama@|@religion@
@agar@|@so that@
@agar-agar@|@jelly@
@agas@|@gnat, sandfly@
@agih@|@distribute@
@aguk@|@pendant@
@agung@|@supreme, educated, learned@
@ah@|@exclamation of surprise@
@aha@|@exclamation of triumph@
@Ahad@|@Sunday@
@ahli@|@member, expert@
@ahli perniagaan@|@businessman@
@ahli sains@|@scientist@
@ahmak@|@stupid@
@aib@|@disreputable, shameful, blemish, flaw@
@air@|@water@
@air batu@|@ice@
@ais@|@ice@
@aiskrim@|@ice-cream@
@ajaib@|@baffling, inscrutable, miraculous@
@ajak@|@invite@
@ajakan@|@invitation@
@ajal@|@doom, death@
@ajar@|@teach@
@ajaran@|@teaching@
@aju@|@moot, bring up for discussion, propose@
@ajuk@|@imitate mockingly, tease@
@ajukan@|@mockery, ridicule, teasing@
@akad@|@contract, promise@
@akaid@|@religious dogma@
@akal@|@ability to think and reason@
@akal budi@|@common sense@
@akal-akal@|@to pretend or feign@
@akan@|@will, shall@
@akan@|@will (auxiliary word for future tense)@
@akan tetapi@|@but@
@akan-akan@|@as if@
@akar@|@root@
@akhbar@|@newspaper@
@akhir@|@final, conclusive, at the end, last@
@akhir-akhir@|@lately, recently@
@akhiran@|@suffix@
@akhirat@|@eternity, the next world, life after death@
@akhirnya@|@finally@
@akhlak@|@behaviour, character, morals@
@akibat@|@consequence, result@
@akibatnya@|@as a result@
@akidah@|@belief, faith, confidence@
@akikah@|@head-shaving of an infant@
@akil@|@clever@
@akil baligh@|@grown up, adolescent@
@akrab@|@intimate in relationship@
@akta@|@act, law passed by legislative body@
@aku@|@me, I@
@aku@|@I@
@akuan@|@confession, acceptance@
@akur@|@agree, consent, approve@
@akusaksi@|@attest@
@alabangka@|@crowbar@
@alah@|@allergic, lose, defeated@
@alahan@|@allergy@
@alam@|@nature, world, universe, experience@
@alamat@|@address, sign@
@alamat@|@address@
@alang@|@crossbeam, of little account@
@alangan@|@obstacle@
@alangkah@|@how@
@alas@|@foundation, basis, framework, underlayer@
@alasan@|@excuse, reason, explanation@
@alat@|@appliance, instrument, tool@
@alat ganti@|@spare part@
@alat kelamin@|@genital organs@
@alatan@|@various tools@
@alatulis@|@stationery@
@alert@|@menjaga@
