@Maldivian@|@English@
@Author name@|@Freelang@
@aadhamuge dharin@|@Adam's children (humankind)@
@aadhayaakhilaafu@|@abnormal@
@aadheys@|@appeal@
@aafalu@|@apple@
@aai@|@and@
@aai behey@|@about (concerning)@
@aakhirathu@|@afterlife@
@aaktik@|@Arctic@
@aasaaree@|@antique@
@abadhu@|@always@
@adhadhu@|@amount@
@adhi@|@and@
@aharaku eh faharu@|@annually@
@aharee@|@annual@
@aharumathi@|@annual wake@
@aiy@|@arm@
@aiy gan'dulee gon'di@|@armchair@
@ajaaibuvun@|@amaze@
@Akurutha' (Hashanara)@|@alphabet@
@akuruthah eg.Alifu-baa@|@alphabet@
@albamu@|@album@
@alhi@|@ash@
@alhiken'di@|@ashtray@
@alifaan aavi@|@acid@
@alun@|@again@
@amaazukurun@|@aim@
@ammazu@|@aim@
@amuruveri-faraaiy@|@authority@
@anekkaaves@|@again@
@anguru@|@amber@
@arahushi@|@Almighty (Allah)@
@assaroon@|@asarum (plant)@
@atholhu@|@atoll@
@atholhu veriyaa@|@atoll chief@
@aun@|@arrive@
@avereju@|@average@
@azum@|@ambition@
@baburu@|@African (black)@
@baiverivun@|@associate@
@ban'du@|@abdomen@
@bandaara naaib@|@Attorney General@
@barugonu@|@automobile horn@
@beyfulhun@|@aristocrats@
@birun@|@afraid@
@boadhaa@|@ancient@
@boathashibageechaa@|@aralia balfouri@
@bodaa@|@arrogant@
@bodethi meehun@|@adult@
@bodethi meehunge umuru@|@adulthood@
@bodudhaitha@|@aunt@
@chaatufoiy@|@atlas@
@dhaaira@|@area (physical or abstract)@
@dhahanaa@|@armour@
@dhan'duverikan@|@agriculture@
@dhekolhu@|@against@
@dhelimaali@|@apparition@
@dhemme@|@already@
@dhenehurun@|@aware@
@dhenfahe@|@afterwards@
@dhenfahu@|@afterwards@
@dhennevun@|@address (formally)@
@dhirihurun@|@alive@
@dhirun'baa@|@afore (front half of ship)@
@dhivehi koveli@|@Asian Koel@
@dhookollun@|@abandon (an idea or action)@
@dhuni@|@arrows@
@dhuruhelivun@|@avoid@
@dhushminkan@|@animosity@
