@Mam Todos Santos@|@English@
@Author name@|@J D Young@
@Font@|@Arial\22\Arial\22@
@-'@|@suffix (added to non-directional verbs) that indicates a future transitive action and follows the time aspect particle ok (ok tb'incha' he will do it) @
@-'ix@|@distributive suffix sometimes used with the number 3 ox (ox'ix three each)@
@-'kj@|@a processive suffix added to transitive and intransitive stems it adds the meaning 'go and do it' (ma'kj 'go and say' comes from ma 'say')@
@-'n@|@verb suffix used when a directional is present in a verb phrase when the roots or bases don't include a glottal stop or a prolonged vowel or following the time aspect particle 'in' (jaw tb'incha'n he built it), suffix that occurs only with directional verbs to indicate the passive voice (ma kub' k'o'n it was put down comes from kub' down k'o- to give or put -'n passive), participle suffix that indicates the progressive tense (think 'ing' in English if you add 'ing' to 'eat' you take a present tense verb and make it progressive 'eating'), suffix that indicates the action referred to has already been completed (tzuyu'n - grabbed)@
@-'tz@|@a processive suffix added to transitive and intransitive stems it adds adds 'go' and the imperative to the meaning (b'iyol means 'to kill' while b'iyo'tz means 'go and kill!')@
@-a@|@an enclitic added to a noun to show possession by the second person singular, singular second person suffix turning a noun or adjective into a stative verb@
@-a'@|@transitive verb suffix that indicates a potential action (may happen or could or will happen etc) it is only used with transitive verbs without directionals@
@-ab'@|@year root, year root suffix that when added to a number root indicates years in the future (jun means 'one' but jna'b' means 'in one year' while jwe' means five and jo'ab' means 'in five years')@
@-ab'i@|@suffix added to the numeral root to mean past years (jun means 'one' while jnab'i  means 'a year ago' or 'last year')@
@-ab'il@|@derives abstract nouns from any class of root except particles and affect roots (these nouns are always possessed ie la'j means 'lie' or 'lying' while tlajab'il means 'lies' or 'falsehoods' and while tx'olb'al means 'explain' tx'olb'ab'il means 'explanation')@
@-aj@|@suffix that turns a verb into a noun or changes the class of a verb or noun (chemaj 'to weave' chemb'il 'loom'), suffix which forms measure words (any short vowel plus the suffix -j forms measure words because the measure suffix -ij changes it's vowel to agree with the root word with very few exceptions)@
@-ajk@|@directional enclitic adding the meaning returning down@
