@Q'anjob'al@|@English@
@Author name@|@J D Young@
@Font@|@Arial\20\Arial\20@
@'@|@category suffix indicating that a verb is transitive@
@-'a@|@category suffix indicating a radical transitive verbs@
@-aj@|@as a verb means to go up, as a directional it means upwards@
@-al@|@suffix added to an adjective turning it into an abstract noun (k'un means 'soft' - sk'unal means 'it's softness'), suffix added to a numeric root to indicate that the indicated elements participate in the same action or have the same characteristics or state (skank'onal means 'all four animals' - s marks possession because sumative numbers are always possessed - kan 'four' k'on is a numeric classifier for animals -al), suffix added to some nouns when they are possessed@
@-an@|@suffix added to a positional root that makes it a positional adjective describing something that has the position indicated by the root (chotan ayoq - sitting down)@
@-aq'-@|@give@
@-ay@|@as a verb it means to go down or get down, as a directional it means downward, suffix indicating an intransitive verb derived from a positional@
@-b'@|@a versive suffix added to adjectives to form an intransitive verb that becomes or takes on the quality of the adjective (saq 'white' - xsaqb'aneni 'whitened it')@
@-b'a@|@reflexive pronoun suffix (sb'a means 'himself' or 'herself' or 'itself' while hinb'a means 'myself' etc.)@
@-b'al@|@locative affix that changes the meaning of a verb to indicate the place where the action occurred or the instrument that was used to execute the action indicated by the sentence (xewi means rest while xewb'al means resting place - k'isa' means to sweep while k'isb'al means broom), derives a transitive verb from a positional base and indicates that something has to be left in the position indicated by the base (kox- is a positional root meaning twisted while hoq hakoxb'aj ayoq means you will twist it)@
@-b'i@|@affix that changes the meaning of a word (ow means anger - max owb'i means he got angry)@
@-b'il@|@suffix that indicates the results of the culmination of an action (txon- root meaning 'to sell' - txomb'il means 'sold')@
@-cha@|@passive marker@
@-chaj@|@suffix that makes an action passive in transitive verbs (Hoq tenchaj ayteq te mansan 'The apples will be picked')@
@-chajom@|@an infrequently used suffix that marks a verb as passive (it is a combination of -chaj and -om the 'j' is added to keep from having two vowels appear together)@
@-eb'@|@numeric classifier for things@
@-ek'@|@as a verb it means to pass, as a directional it means toward or to the other side@
@-el@|@as a verb means to leave, as a directional it means outward@
@-enaq@|@suffix indicating that something strongly has the quality of the adjective that it is attached to (saq tanenaq@
@-eq@|@affix that functions as a pluralizer when it is attached to miman (miman means big - mimeq na means big houses)@
@-etoq@|@suffix that is always possessed and that indicates the instrument  used to carry out the action (yetoj te te' with the stick' - yetoz ch'en machitej 'with the machete')@
@-i@|@suffix that classifies a verb as intransitive in the incompletive and progressive aspects (Yekal hoqon jayoq - We will come tomorrow)@
@-il@|@affix that changes the meaning of a word (watx' means good - swatx'il means its goodness)@
@-inaq@|@affix that intensifies the word to which it is attached (yax means green - yax mayinaq means very green)@
@-j@|@suffix added to derived transitive verbs (it does not change the meaning of the word), suffix indicating an intransitive verb derived from a noun@
@-k'on@|@numeric classifier for animals@
@-l@|@suffix indicating an intransitive verb derived from a noun@
@-laq@|@acts as a pluralizer in certain cases and indicates abundance or a place where there is a lot of the thing it modifies (ch'enlaq - a lot of rocks)@
@-lay@|@suffix that makes an action passive in transitive verbs and derived transitive verbs (Hoq tenlay ayteq te mansan 'The apples will be picked')@
@-n@|@suffix indicating an intransitive verb derived from a noun, suffix that is used if the agent is the first or second person and the verb agrees with the patient but the agent is still the focus of a transitive verb or a derived transitive verb@
@-naq@|@suffix that indicates the results of an action that has terminated (kam 'to die' plus naq gives the result 'dead')@
@-o'@|@category suffix indicating a radical transitive verb for those radical transitive verbs that have an 'o' in their root@
@-ok@|@as a verb means to enter, as a direccional it means inward, suffix that can be used to express the desire to get something done or wish you had done something or the desire to do something in the future (choq lowi 'I hope that he or she eats')@
@-om@|@marks a derived transitive verb as passive (this has frequent use in Soloma)@
@-on@|@marks a verb as transitive, suffix that is used if the agent is the first or second person and the verb agrees with the patient but the agent is still the focus of a transitive verb or a derived transitive verb@
@-oq@|@suffix that classifies verbs as intransitive in the potential aspect@
