@Spanish (Business)@|@English@
@Author name@|@Ana del Río García@
@Font@|@Arial\12\Arial\12@
@"paracaídas dorado" - indemnización@|@golden parachute@
@*hipoteca con pago graduado@|@graduated-paymentMortgage(GPM)@
@a corto plazo@|@short-term@
@a la vista@|@at sight@
@a largo plazo@|@long-term@
@AA beneficio neto@|@net profit@
@AAA@|@straight line method@
@abogado de bienes raíces@|@real estate attorney@
@absentismo@|@absenteeism@
@abstinencia@|@abstinence@
@acción@|@share@
@acción cotizada en bolsa@|@listed securities@
@acción en circulación@|@shares outstanding@
@acciones@|@shares of stock@
@acciones comunes@|@ordinary shares@
@acciones de capital@|@capital stock@
@acciones en circulación@|@outstanding shares@
@acciones preferentes@|@preference shares@
@accionista@|@shareholder, stock holder@
@aceleración@|@acceleration@
@acelerador@|@accelerator@
@aceptación@|@acceptance@
@aceptación bancaria@|@banker's acceptance@
@acreedor@|@creditor@
@acreedor hipotecario@|@mortgagee@
@actividad emprial conjunta entre socios de 2países@|@joint venture@
@activo circulante@|@current assets, fixed assets@
@activo dado en prenda@|@collateral@
@activo fijo@|@current assets, fixed assets@
@activo y pasivo@|@assets and liabilities@
@activos@|@assets@
@activos acumulados@|@accrued assets@
@actuario@|@actuary@
@acuerdo@|@agreement@
@acuerdo comercial@|@Business, deal, reciprocal trade@
@acuerdo de cooperación entre empresas de 2países@|@join-venture@
@acuerdo de venta@|@agreement of sale@
@acumulación de inventarios@|@stock pile@
@adeudar@|@to be in debt, to debit, to owe@
@administración de viviendas d trabajadores rurales@|@Farmers Home Administration@
@Administración Federal de Vivienda@|@Federal Housing Administration@
@admnistración de temas relacionados con veteranos@|@Veterans Administration loan@
@adquisición@|@acquisition@
@adquisición hostil@|@lakeover@
@aduana@|@custom house@
@agente a cargo de la operación de cierre@|@settlement agent@
@agente de bienes raíces@|@real estate agent@
@agente de préstamos@|@loan officer@
@agente de ventas@|@selling agent@
@agente del comprador@|@buyer's agent@
@agente hipotecario@|@mortgage broker@
@agente listador@|@listing agent@
@ahorros@|@savings@
@aislación@|@insulation@
@ajuste de cambio@|@exchange adjustment@
@ajustes por inflación@|@cost of living adjustment@
@albarán@|@commercial note, delivery note@
@alienación@|@alienation@
@almacenamiento@|@storing@
@alquilar@|@to rent@
@alquiler con opción a compra@|@lease with purchase option@
@alza@|@up turn@
@American Depository Receipt@|@ADR@
@amortización@|@amortization, depreciation, redemption@
@análisis@|@break down@
@análisis comparativo de mercado@|@comparative market analysis@
@análisis crediticio@|@credit analysis@
@análisis de sensibilidad@|@cost volume profit analysis@
@análisis financiero@|@financial review@
@annualidad@|@annuity@
@año@|@year@
@anvalidar@|@aunvity@
@aplazamiento de ganancias de capital@|@capital gains deferment@
@aportación de fondos@|@contribution founds@
@apoyo financiero@|@financial backing@
@apoyo infantil@|@child support@
@apreciar (el valor)@|@to appreciate (in value)@
@apuesta@|@gambling, wager@
@arancel@|@duty@
@área@|@area@
@arrendador@|@landlord, lessor@
@arrendamiento@|@tenancy@
@artículo@|@article@
@asalariado@|@breadwinner, wage-paid, wage earner@
@asamblea@|@assembly, meeting@
@asesor financiero@|@financial advisor@
@asesor hipotecario@|@mortgage broker@
@asesor impositivo@|@tax consultant@
@asesoría en materia crediticia@|@credit counseling@
@asesoría personal@|@coaching@
@asignación de recursos@|@allocation of resources@
@asignar@|@allocate, to allocate@
@Asociación de Ahorro y Préstamo@|@Savings and Loan Association@
@asunción@|@assumption@
@atrasos en el pago de la hipoteca@|@mortgage arrears@
@auditoría@|@auditory@
@avance@|@payment advance@
@aviso de incumplimiento en el pago@|@notice of default@
@ayuda económica@|@aid@
@bajada y subida@|@ebb and flow@
@balance@|@balance, balance sheet@
@balance de cierre@|@closing balance@
@balance de comprobación de saldos@|@trial balance@
@balance final@|@closing balance@
@balanza comercial@|@balance of trade@
@balanza de pagos@|@balance of payments@
@banca@|@banning@
@banca electrónica@|@data cash@
@bancarrota@|@bankruptcy@
@banco comercial@|@commercial bank@
@Banco Federal de Préstamos para Viviendas@|@Federal Home Loan Bank(FBLB)@
@banco mercantil@|@commercial bank@
@bancos hipotecarios@|@mortgage bank@
@banquero hipotecario@|@mortgage banker@
@base gravable@|@basis of assessment@
@beca@|@grant@
@beneficiario@|@beneficiary@
@beneficio@|@profit@
@beneficio bruto@|@gross benefit@
@beneficio de explotación@|@operating profit@
@beneficios del seguro social@|@Social Security benefits@
@beneficios impositivos@|@tax benefits@
@bienes@|@assets, goods@
@bienes de capital@|@capital goods@
@bienes de consumo@|@consumer goods@
@bienes inmuebles@|@buildings@
@bienes personales@|@personal assets@
@bienes raíces@|@real estate@
@bienes raíces en propiedad@|@real estate owned (REO)@
@bodega@|@winery@
@bolsa de valores@|@stock exchange, stock market@
@bolsa electrónica@|@winset on line@
@bono@|@bond@
@bono basura@|@junk bond@
@buena imagen@|@good will@
@búsqueda de títulos de propiedad@|@title search@
@búsqueda de un préstamo hipotecario@|@mortgage shopping@
@búsqueda de una vivienda@|@shopping for a home@
@caída de precios@|@price fall@
@cajero automático@|@automatic cash, cash dispenser@
@cajero/a@|@cashier@
@calefacción@|@heating@
@calificación crediticia@|@credit rating@
@calificación previa@|@prequalification@
@calificar@|@to qualify@
@cambalache@|@swap@
@cambio@|@change@
@cañerías@|@plumbing@
@capital@|@capital, principal, stock@
@capital circulante@|@circulating capital@
@capital de riesgo@|@venture capital@
@capital de trabajo@|@working capital@
@capital e interés@|@principal & interest (P&I)@
@capital en la propiedad@|@equity@
@capital social@|@share capital@
@carga en cubierta@|@deck load@
@cargamento@|@load@
@carta de compromiso@|@commitment letter@
@carta de crédito@|@letter of credit@
@carta de obsequio@|@gift letter@
@cartera@|@investment@
@cartera de acciones@|@share portfolio@
@casa@|@house@
@caso@|@case@
@certificado de acción@|@share certificate@
@chanchullos@|@fiddling@
@cheque@|@check@
@cheque bancario@|@cashier's check@
@cheques girados y no cobrados@|@float, floating@
@ciclo de vida del proyecto@|@project life cycle@
@cierre@|@closing@
@cifra@|@number, turnover@
@circulación@|@flow@
@circulante@|@currency@
@cliente@|@client, customer@
@cobertura@|@hedge, hedging@
@cobertura en moneda extranjera@|@forward@
@cobro automatizado@|@automatic cashing@
@cobro en el destino@|@collect@
@coeficiente de caja@|@liquidity ratio@
@coeficiente de liquidez@|@liquidity ratio@
@comercio@|@counter trade, trade@
@comercio electrónico@|@data business@
@comisión de compromiso@|@commitment fee@
@comisión inicial@|@fee@
@comisiones@|@comissions@
@compañía@|@company, concern, firm@
@compañía anónima@|@stock company, stock corporation@
@compañía emisora@|@issuing company@
@comparative market analysis@|@CMA@
@compensación@|@clearing@
@competencia@|@competition@
@competitividad@|@competitiveness@
@compra@|@acquisition, purchase@
@comprador@|@buyer@
@comprobante@|@roucher, voucher@
@conciliación@|@conciliation@
@congelación de precios@|@price freeze@
@congelación salarial@|@wage freeze@
@conocimiento de embarque@|@B/L (Bill of lading), bill of lading@
@conocimiento de embarque aéreo@|@AWL (airway Lading)@
@consulta@|@consultation@
@consumidor@|@consumer@
@consumo@|@consumption@
@contabilidad@|@accounting, accounts, bookkeeping@
@contable@|@accountant, bookkeeper@
@contado@|@cash@
@contraer deuda@|@to go into debt@
@contratiempo@|@set back@
@control de precios@|@price control@
@convenciones contables@|@accounting conventions@
@convertibilidad@|@convertibility@
@corrección monetaria@|@monetary adjustment, monetary correction@
@corredor@|@commercial traveller@
@corredor de apuestas@|@bookie (colloq)@
@corredor de bolsa@|@stockbroker@
@costo@|@cost@
@costos de adquisición@|@acquisition costs@
@costos de operación@|@operation costs@
@cotización de las acciones@|@share prices@
@coyuntura económica@|@economic trend@
@crecimiento del dinero@|@money growth@
@crédito@|@credit, installment@
@crédito documentario@|@back to back@
@crédito sin necesidad de garantías@|@clean credit@
@cuadro integrado de costo@|@balance fore card@
@cuenta@|@account, bill@
@cuenta corriente@|@current account@
@cuenta de ahorros@|@deposit account, savings account@
@cuenta de gastos@|@company account@
@cuentas por cobrar@|@accounts receivable@
@cuentas por pagar@|@accounts payable@
@cultivo comercial@|@cash crop@
@cultivo industrial@|@cash crop@
@cuota@|@installment@
@cupo@|@quota@
@cupón@|@voucher@
@currante@|@wage slave (colloq)@
@de venta al por mayor@|@cash and carry@
@deber@|@to owe@
@débito@|@debt@
@declaración de impuestos@|@tax return@
@declaración de veracidad de un préstamo@|@Truth-In-Lending Statement@
@declaración jurada@|@affidavit@
@deducción@|@deduction@
@deducciones@|@allowances@
@deducible@|@deductible@
@déficit@|@deficit@
@deflación@|@deflaction@
@demanda@|@demand@
@demanda agregada@|@aggregate demand@
@depósito@|@deposit@
@depósito de garantía@|@earnest money deposit@
@depreciación@|@depreciation@
@derechos arancelarios@|@customers duty@
@desaceleración@|@recession@
@Desarrollo de Unidades Planificadas@|@Planned UnitDevelopments(PUDs)@
@descuento@|@discount, rebate@
@descuentos@|@allowances@
@desembolso@|@disbursement, expenditure, expense@
@desempleo@|@unemployment@
@despachador@|@fordwarder@
@desprendible@|@coupon@
@deuda@|@debt, liability@
@deuda a largo plazo@|@long term debt@
@deuda consolidada@|@consolidated debt@
@deuda de cuota@|@installment debt@
@deuda flotante@|@floating debt@
@deudas a largo plazo@|@fixed liabilities, long-term liabilities@
@deudor@|@debtor@
@deudor hipotecario@|@mortgagor@
@devaluación@|@depreciation, devaluation@
@devisas@|@devise@
@devolución@|@rebate@
@devolución de dinero en efectivo@|@cashback@
@día de liquidación@|@account day@
@diferido@|@deferred@
@dinero@|@cash, money@
@dinero en efectivo@|@cash prize@
