@Spanish (Forestry)@|@English@
@Author name@|@Álvaro Vallejo@
@a la orilla del camino@|@at roadside@
@a mano@|@by hand@
@abarquillado@|@lumber cupping@
@abastecimiento de madera@|@wood procurement@
@abedul@|@birch@
@abeja@|@bee@
@abejorro@|@bumblebee@
@abeto@|@fir, spruce@
@abeto Douglas@|@Douglas-fir@
@abono@|@fertilizer@
@abrazadera, mordaza paralela@|@wood clamp@
@acabado de madera@|@wood finish@
@acahual (M)@|@high brush or scrub forest@
@ácaro@|@mite@
@acebolladura (M)@|@ringshake@
@acequia@|@gully, small drainage@
@achatadura de fuste (CR)@|@non-circular bole@
@acículas@|@needles@
@acidez@|@acidity@
@ácido indol-butérico (AIB)@|@indole-buteric acid (IBA)@
@ácidos grasos del pulpeo@|@tall oil (pulping extract)@
@aclarar@|@clear (clarify), thin@
@aclareo@|@thinning@
@acodo@|@air layering@
@acoplado (A)@|@trailer@
@acordonar, apliar residuos (CR)@|@pile residue@
@ACPM (C), gasoil (V)@|@diesel fuel@
@acre (0.40 ha)@|@acre (0.40 ha)@
@actinomicetos@|@actinomycetes@
@áfido@|@aphid@
@afilado, sala de@|@filing room@
@afilar@|@file (to), sharpen@
@agalla (en el árbol)@|@gall@
@agricultor@|@farmer/agriculturist@
@agro-forestería@|@agro-forestry@
@agronomía@|@agriculture@
@agropecuaria@|@agriculture (& animal husbandry)@
@agua@|@water@
@agua subterránea@|@ground water@
@aguacero@|@storm, rainstorm@
@águila@|@eagle@
@aguja@|@needle@
@AIB@|@IBA@
@aislamiento@|@isolation@
@al azar@|@random@
@al borde del camino@|@at roadside@
@al borde del camino@|@at roadside@
@alabeos@|@lumber deformations@
@alacrán@|@scorpion@
@álamo@|@poplar, aspen@
@álamo triploide@|@triploid aspen@
@albura@|@sapwood@
@alcalino@|@alkaline@
@alce@|@moose@
@alelo@|@allele@
@alerce@|@larch@
@alerta contra incendios@|@fire alert@
@aletón, base del árbol@|@buttress, base of tree@
@alicates@|@pliers@
@aliso@|@alder@
@alma (centro) del contraenchapado@|@plywood center (core)@
@almácega (A) (vivero)@|@bed (nursery)@
@aluvión@|@alluvium@
@ambiente@|@environment@
@amonio, amónico@|@ammonium@
@amortiguar@|@buffer (to)@
@análisis de suelo@|@soil analysis@
@análisis de varianza@|@analysis of variance@
@ancho de tablas@|@width, board@
@anemómetro@|@anemometer@
@angiosperma@|@angiosperm@
@ángulo fibril@|@fibril angle@
@anillar@|@girdle (to)@
@anillos de crecimiento@|@annual rings@
@aniones@|@anions@
@anta@|@elk@
@antecedentes genéticos@|@genetic background@
@antílope@|@antelope@
@antorcha (incendios)@|@drip torch@
@antorcha montada en helicóptero@|@helitorch@
@ANVA (análisis de varianza)@|@ANOVA (analysis of variance)@
@aparear@|@mate, to@
@apeo (C)@|@felling@
@ápice@|@top@
@apilar en trincheras ó fajas@|@windrowing@
@aprovechamiento@|@logging@
@aprovechamiento con cable aéreo@|@cable logging@
@arado@|@plow@
@arar@|@plow (to)@
@árbol de navidad@|@Christmas tree@
@árbol de pan@|@breadfruit tree@
@árbol hueco@|@hollow tree@
@árbol mástil@|@mast tree@
@árbol padre@|@mother tree, seed tree@
@árbol plus (superior)@|@plus tree@
@árbol portagranos (M)@|@seed tree@
@árbol semillero@|@seed tree@
@arboleda@|@grove@
@arboretum, arboreto@|@arboretum@
@arboricultivo@|@tree breeding@
@arboricultor@|@tree breeder@
@arbusto@|@shrub, bush@
@arce@|@maple@
@arcilla@|@clay@
@arco de arrastre@|@logging arch@
@ardilla@|@squirrel@
@área basal@|@basal area@
@arena@|@sand@
@arena francosa@|@loamy sand@
@armadillo@|@armadillo@
@arqueadura@|@wood warp in arch@
@arrastrar@|@drag, skid (logging)@
@arrastre@|@skidding@
@arroba (@@)@|@at@
@arroyo@|@stream@
@ascendiendo@|@ascending@
@ascomiceto@|@ascomycete@
@asensor mecánico de naves@|@mechanical lift for ships@
@aserradero@|@sawmill@
@aserrador (insecto)@|@twig girdler (insect)@
@aserrín@|@sawdust@
@aserrín, silo de@|@sawdust hopper@
@astilla@|@chip, splinter@
@astilladora@|@chipper@
@astilladora basta@|@hog (wood)@
@atornillado@|@screwed@
@aumentar@|@increase (to)@
@autofecundación@|@inbreeding@
@autopolinización@|@selfing, self pollination@
@autor principal@|@senior author@
@auxina@|@auxin@
@avalúo@|@appraisal@
@avispa@|@wasp@
@azada@|@hoedad, hoe (A)@
@azadón@|@hoe@
@baba (V), babilla (C)@|@alligator@
@bachaco (V)@|@leaf-cutter ants@
@bahareque@|@adobe@
@balancín (A)@|@scale (for weighing)@
@balanza, pesa@|@scale (for weighing)@
@bancal@|@nursery bed, seed bed@
@banco de clones@|@clone bank@
@baño antimancha@|@preservative dip@
@baqueano@|@woods worker@
@barbecho (CA)@|@secondary forest@
@barlovento@|@windward, upwind@
@barrenador (insecto)@|@borer@
@barrenador de tallo@|@shoot borer@
@barreno@|@auger@
@barreno Pressler@|@increment borer@
@barrera rompeviento@|@windbreak@
@basa (madera aserrada) (V)@|@cant (sawn wood)@
@báscula@|@scales for weighing@
@batea (V)@|@semi-trailer@
@batifuego@|@fire swatter@
@bejuco@|@rattan, large vine@
@berbiquí y broca@|@brace and bit@
@bestia@|@pack horse, pack animal@
@bifurcación@|@fork (tree)@
@biodiversidad@|@biodiversity@
@biósfera@|@biosphere@
@bloques al azar@|@randomized blocks@
@bomba de espalda@|@backpack pump@
@bombero forestal@|@fire fighter@
@bombero paracaidista@|@smoke jumper@
@boro@|@boron@
@bosque@|@forest, woods@
@bosque alpino@|@alpine forest@
@bosque de altura (CR)@|@upland forest@
@bosque de bajura (CR)@|@lowland forest@
@bosque húmedo tropical@|@tropical rain forest@
@bosque húmedo-seco@|@wet-dry forest, monsoon forest@
@bosque implantado (A)@|@plantation@
@bosque pluvial@|@pluvial rain forest@
@bosque primario, bosque virgen@|@virgin forest@
@bosque secundario@|@second-growth forest@
@bosque xerofítico@|@dry forest, xerophytic forest@
@botas@|@boots@
@botiquín de primeros auxilios first aid@|@kit@
@brea@|@tar@
@brigada contra incendios@|@fire brigade@
@brinzal@|@seedling plantation, thicket@
@brote@|@shoot@
@brújula@|@compass@
@bruma@|@haze, smog@
@buey@|@ox@
@búfalo@|@buffalo@
@buho@|@owl@
@caballo@|@horse (riding)@
@caballón (C)@|@bed (site preparation)@
@cable aéreo@|@skyline cable@
@cable de arrastre@|@highlead cable logging@
@cabo (herramienta)@|@handle (tool)@
@cachicamo (V)@|@armadillo@
@cadena@|@chain@
@cadena de clasificación@|@green chain@
@caducifolia@|@deciduous@
@caiman@|@alligator@
@caja@|@box@
@caja corrugada@|@corrugated box@
@caja plegable@|@folding box@
@cajete (M)@|@scalp (for planting)@
@cajetear(M)@|@to scalp@
@calicata (M)@|@soil pit@
@calidad de sitio@|@site quality@
@calificación de madera@|@lumber grading@
@calificación por resistencia@|@stress grading@
@calificar@|@grade (to score)@
@calofonia@|@resin (tree fatty acids)@
@cámara de secado@|@dry kiln@
@camellonador@|@bedder, bedding harrow@
@camino de arrastre@|@skid trail@
@camino forestal@|@forest road@
@camión@|@truck@
@camión articulado (M)@|@tractor-trailer truck@
@camión bombero@|@fire truck@
@camión de doble eje (N)@|@tandem truck@
@camionero@|@truck driver@
@camioneta@|@pickup truck@
@campesino@|@peasant, farm worker@
@canales resiníferos@|@resin canals@
@cancro@|@canker@
