@Venetian@|@English@
@Author name@|@Bruce Olby@
@(luri) i se ga/à svejà@|@they themselves have woken up@
@(ti) te te à/ga/ghè lavà@|@you yourself are washed@
@(ti) xèrito sporco?@|@were you dirty?@
@(ti)jèritu sporc?@|@were you dirty?@
@£a xera@|@she was@
@£agùia@|@eagle@
@£aìn@|@lean@
@£aka@|@leg@
@£atón@|@brass@
@£avaóro@|@washbasin@
@£ekési@|@candies@
@£énsa@|@hooligan@
@£evaró£a@|@pig foot@
@£igaóro@|@salamander@
@£ispo@|@slippery@
@£ive@|@there@
@£óngo@|@long@
@£òtara@|@ladder@
@£u@|@him@
@a£okón@|@owl@
@acquavitai@|@brandy merchants@
@anbra@|@amber@
@ancona@|@icon, small picture@
@anguàna@|@witch@
@anguria@|@water-melon@
@anpómo£a@|@raspberry@
@anzolo@|@angel@
@aseo@|@vinegar@
@àspexe@|@water snake@
@aurifices@|@goldsmiths@
@ava@|@honeybee@
@bago£ón@|@joker@
@bailo@|@ambassador@
@bala@|@ball@
@balbo@|@shuddered@
@baldréska@|@scaffolding@
@ballotte@|@small balls used in ballots@
@baloni@|@ball@
@bambace@|@cotton@
@bande@|@side walls on a bridge.@
@barba@|@beard@
@barbacani@|@buttress sticking out over the pavement@
@barbier@|@barber@
@barco@|@suspended choir@
@baretteri@|@beret makers@
@baro@|@thorny heap of bushes@
@barukè£o@|@young peasant@
@batelo@|@boat@
@baùko@|@stupid person@
@baxùo@|@mortified@
@beccaio@|@butcher@
@beccarie@|@slaughter house@
@bechi@|@goats@
@béko@|@goat@
@bèko@|@beak@
@bela@|@beauty@
@bévar@|@drink@
@bévare@|@to drink@
@biastema@|@vice, evil, immorality@
@bierum@|@canal that drives a water mill@
@biria@|@canal that drives a water mill@
@Birri@|@after a canal that once went through the area behi@
@bisabòbo£e@|@curves on a road@
@bìsi@|@peas@
@bissa@|@snake@
@bòca@|@kid@
@bòca@|@kid@
@bóka@|@mouth@
@bólpe@|@fox@
@bombasseri@|@cotton sellers@
@bonbaxón@|@cotton@
@boter@|@barrel maker@
@botteri@|@barrel-makers@
@bottiglieri@|@bottle-makers@
@brèspa@|@wasp@
@brinkàre@|@catch@
@brinkavóxe@|@microphone@
@broglio@|@square@
@brolo@|@enclosed garden@
@brónba@|@plum@
@brónsa@|@charcoal@
@brusa@|@burned (a fire broke out here)@
@buello@|@intestine like (i.e.long)@
@burchielli@|@larger than a gondola@
@burchielli da legna@|@timber transporters@
@burchielli da rovinassi@|@rubble removers@
@burchielli dacava fanghi@|@mud removers@
@burchieri@|@refuse collectors@
@burchierillanti@|@refuse collectors@
@buso@|@hole@
@caffetiere@|@owner of coffee shop@
@calafati@|@caulkers@
@caldere@|@coppersmith@
@calegheri@|@shoemakers@
@calice@|@goblet@
@camerlengo@|@magistrate or chamberlain@
@canalem@|@canal@
@canonica@|@parsonage, vicarage@
@cantare@|@sing@
@capelera@|@hat shop@
@capitello@|@sanctuary@
@capuzine@|@capuchin nuns@
@carbon@|@charcoal@
@caréga@|@chair@
@cariole@|@barrow@
@carozze@|@carriages@
@carro@|@chart or chariot@
@casari@|@cheese-makers@
@casaria@|@cheese market@
@caserie@|@cheese@
@cason@|@prison@
@casseller@|@crate maker@
@causkàre@|@to speak gibberish@
@cavalletti@|@trestles used by weavers and dyers for drying clot@
@çena@|@supper@
@cénjo@|@rock@
@çeó£a@|@onion@
@cereria@|@candle makers shop@
@cesendeli@|@lights that resembled@
@cheba@|@cage@
@chiovere@|@places were dyed cloth was hung out to dry@
@chioverette@|@small chiovere@
@cicendelae@|@fireflies@
@cìkara@|@tea cup@
@cimadore@|@shearer@
@cò@|@exclamation@
@còdo@|@nail@
@colone@|@column@
@coltri@|@blanket maker@
@comare@|@midwife@
